p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.619039678778426e-5,0.2526061854637689,0.465,0.361,1,IEG-High Microglia,Fmnl3
5.639425076402226e-5,0.4211419850644208,0.13,0.075,1,IEG-High Microglia,Snhg12
6.186935290809679e-5,0.6083161681669815,0.147,0.089,1,IEG-High Microglia,Ipmk
6.558340360416953e-5,0.6299189364636765,0.11,0.062,1,IEG-High Microglia,Tuba1a
6.583739363374577e-5,0.308876806468215,0.424,0.317,1,IEG-High Microglia,Rab31
7.147216567874244e-5,0.25031906221220157,0.532,0.415,1,IEG-High Microglia,Tut7
7.990761466542291e-5,0.4072976303930954,0.303,0.222,1,IEG-High Microglia,Hif1a
8.089752046317035e-5,0.27038391496505965,0.255,0.174,1,IEG-High Microglia,Rbm28
8.465844173976353e-5,0.5968060595157995,0.132,0.079,1,IEG-High Microglia,Lonrf3
8.502768065602824e-5,0.28748541138853306,0.208,0.137,1,IEG-High Microglia,Rev3l
9.578525373008469e-5,0.3977532975258193,0.247,0.173,1,IEG-High Microglia,Mxi1
9.805865752414277e-5,0.25885945594191817,0.372,0.277,1,IEG-High Microglia,Arnt
1.0020038109975283e-4,0.27627737243818107,0.435,0.328,1,IEG-High Microglia,Vgll4
1.0020353585482078e-4,0.38741265809798037,0.197,0.129,1,IEG-High Microglia,Vps37b
1.0065976828521885e-4,0.3967277920420728,0.18,0.115,1,IEG-High Microglia,Kcnip3
1.0942919527568497e-4,0.3227261642628272,0.307,0.221,1,IEG-High Microglia,Lrp5
1.097508471707776e-4,0.381227158867988,0.262,0.185,1,IEG-High Microglia,Acox3
1.1048201708617783e-4,0.41990751833944884,0.236,0.164,1,IEG-High Microglia,Ube2q2
1.117195754223442e-4,0.4108493744516891,0.136,0.082,1,IEG-High Microglia,Jpt1
1.152674248649714e-4,0.25005025391890434,0.381,0.281,1,IEG-High Microglia,Abl2
1.1668522486813419e-4,0.6413574561622182,0.1,0.056,1,IEG-High Microglia,Zbtb2
1.1682669540787166e-4,0.31418000503692733,0.279,0.198,1,IEG-High Microglia,Saraf
1.1886929771541939e-4,0.26229981704917704,0.268,0.188,1,IEG-High Microglia,Tmod3
1.1910013499037907e-4,0.33496824725892127,0.227,0.153,1,IEG-High Microglia,Tbcd
1.1911105974994256e-4,0.4009907982182892,0.141,0.085,1,IEG-High Microglia,Tfeb
1.2443962502692364e-4,0.27099616980591024,0.543,0.443,1,IEG-High Microglia,Ptpra
1.2706542393711617e-4,0.25520268042379474,0.234,0.159,1,IEG-High Microglia,Add3
1.2784277119629067e-4,0.5430767423642016,0.136,0.083,1,IEG-High Microglia,Arhgap32
1.2939131424006663e-4,0.48780119328502314,0.214,0.143,1,IEG-High Microglia,Pmp22
1.4683909264140944e-4,0.2649919714221892,0.171,0.109,1,IEG-High Microglia,Nsun6
