avg.exp,pct.exp,features.plot,id,avg.exp.scaled,avg.exp.mm,pct.exp.plot
7.889977639797406,77.09844559585493,Fcrls,Transiently Activated Microglia,0.7340791635685704,0.8161354594699516,77.09844559585493
7.168895121846741,73.73056994818653,Gpr34,Transiently Activated Microglia,0.8555859738356396,0.8025343757555966,73.73056994818653
4.164934936175293,34.093264248704664,Rgs1,Transiently Activated Microglia,0.8770066043028348,0.6726449882712308,34.093264248704664
2.65983444747509,42.38341968911917,Ier5,Transiently Activated Microglia,0.866599432778154,0.49016048243247656,42.38341968911917
2.346764252120545,30.88082901554404,Sox4,Transiently Activated Microglia,1.3027286653902757,0.8145959483311289,30.88082901554404
0.6567755921736701,13.626943005181346,Ccl12,Transiently Activated Microglia,-0.962605363854743,0.012119534459125602,13.626943005181346
0.3988143590367742,8.652849740932643,Gm4951,Transiently Activated Microglia,-0.7207370692732535,0.036358482821056685,8.652849740932643
0.3043659290542757,6.787564766839378,Ifi204,Transiently Activated Microglia,-0.7447451157057685,0.01230965532971269,6.787564766839378
83.27540822556763,99.84455958549223,Cst3,Transiently Activated Microglia,0.5944647620877,0.5890665422047483,99.84455958549223
46.6641200626993,99.89637305699482,Hexb,Transiently Activated Microglia,0.7711014907586773,0.9116164790828942,99.89637305699482
47.88632219816217,99.53367875647669,Tanc2,Transiently Activated Microglia,0.7794804883263742,1,99.53367875647669
31.87845782225318,97.87564766839378,mt-Cytb,Transiently Activated Microglia,-0.08104319786076873,0.2729976740144731,97.87564766839378
31.553143864909767,98.18652849740933,mt-Nd1,Transiently Activated Microglia,-0.08283669388074964,0.2719285114835398,98.18652849740933
27.24540440170002,96.99481865284974,mt-Nd2,Transiently Activated Microglia,-0.042067784807104554,0.24725842886516966,96.99481865284974
0.5585664824388277,8.808290155440414,Egr1,Transiently Activated Microglia,-0.07733585939077302,0.09951677155382654,8.808290155440414
0.43039329085193623,7.1502590673575135,Fosb,Transiently Activated Microglia,-0.18751828775007148,0.16560581863629625,7.1502590673575135
15.148977490318526,91.61073825503355,P2ry12,IFN-Responsive Microglia,0.5534195529702821,0.6945355150387079,91.61073825503355
5.762687578235489,65.54809843400447,Fcrls,IFN-Responsive Microglia,0.3193777233173924,0.5692952516497798,65.54809843400447
4.390915798629301,56.04026845637584,Gpr34,IFN-Responsive Microglia,0.09777104922757135,0.4224368965925016,56.04026845637584
2.1992734305943022,21.252796420581653,Rgs1,IFN-Responsive Microglia,0.14579229457159412,0.355186881331169,21.252796420581653
1.9797387443004206,31.43176733780761,Ier5,IFN-Responsive Microglia,0.3879373442439902,0.3519003322563808,31.43176733780761
0.966434782529869,18.120805369127517,Sox4,IFN-Responsive Microglia,-0.13035108706155024,0.25650893804553115,18.120805369127517
8.033878085874893,54.138702460850105,Ccl12,IFN-Responsive Microglia,1.8568820188279465,1,54.138702460850105
5.015605395393578,52.46085011185683,Gm4951,IFN-Responsive Microglia,1.5078000500769864,0.806906141834465,52.46085011185683
4.540056405016768,54.69798657718121,Ifi204,IFN-Responsive Microglia,1.4347647748631287,0.7377583015271534,54.69798657718121
73.19641405683515,99.88814317673378,Cst3,IFN-Responsive Microglia,0.32904917607682227,0.4751452448594686,99.88814317673378
42.99809762785235,99.77628635346755,Hexb,IFN-Responsive Microglia,0.6573866611919891,0.8247606643969723,99.77628635346755
44.67859904028291,99.21700223713647,Tanc2,IFN-Responsive Microglia,0.7090399849861623,0.9282829858231609,99.21700223713647
29.02786754775417,95.19015659955258,mt-Cytb,IFN-Responsive Microglia,-0.35716389373448976,0.21630335776896825,95.19015659955258
29.383378674583632,95.9731543624161,mt-Nd1,IFN-Responsive Microglia,-0.3098764802805019,0.2273097615110837,95.9731543624161
24.673956099151745,93.84787472035794,mt-Nd2,IFN-Responsive Microglia,-0.35976283748362226,0.1876126230643311,93.84787472035794
0.4679579010870995,7.38255033557047,Egr1,IFN-Responsive Microglia,-0.19640557124678018,0.08016762616334586,7.38255033557047
0.3097775445114483,6.487695749440715,Fosb,IFN-Responsive Microglia,-0.3891976651183186,0.1191955472921362,6.487695749440715
19.436811614318557,67.97900262467192,P2ry12,Primed Microglia,0.9035695093290558,0.9362536103105081,67.97900262467192
7.574181669378038,39.107611548556434,Fcrls,Primed Microglia,0.6792378490458454,0.7794920583768934,39.107611548556434
7.556417862729063,39.89501312335958,Gpr34,Primed Microglia,0.9400942166431782,0.8555572387037436,39.89501312335958
1.7979061436085781,9.317585301837271,Rgs1,Primed Microglia,-0.05885785805299493,0.2903652939152341,9.317585301837271
0.8357194913799314,6.167979002624672,Ier5,Primed Microglia,-0.7399005774969694,0.11932677977724052,6.167979002624672
1.0552859957413332,7.874015748031496,Sox4,Primed Microglia,-0.011255095557944714,0.2924327584332381,7.874015748031496
2.843926719222649,13.779527559055119,Ccl12,Primed Microglia,0.4364444207393768,0.30500469844352357,13.779527559055119
0.9439579178251425,5.2493438320209975,Ifi204,Primed Microglia,-0.1434511062002017,0.12185286794302798,5.2493438320209975
114.56159799039702,98.16272965879264,Cst3,Primed Microglia,1.2523315391950047,0.9426894600606677,98.16272965879264
45.82070066520038,87.79527559055119,Hexb,Primed Microglia,0.745734222676781,0.8916340921243876,87.79527559055119
39.3424535259049,84.12073490813648,Tanc2,Primed Microglia,0.5801052609888863,0.8089795407723305,84.12073490813648
18.15213451434646,54.46194225721784,mt-Cytb,Primed Microglia,-1.7263583577786914,0,54.46194225721784
18.32953229268027,55.249343832021005,mt-Nd1,Primed Microglia,-1.798481748696157,0,55.249343832021005
16.58560596894659,51.0498687664042,mt-Nd2,Primed Microglia,-1.6191659943117618,0,51.0498687664042
19.090775902305662,81.83254344391784,P2ry12,Mitochondrial-Activated Microglia,0.8781768102156731,0.9167465373256629,81.83254344391784
9.47453800456654,63.191153238546605,Fcrls,Mitochondrial-Activated Microglia,0.9827792345754447,1,63.191153238546605
8.150204348133238,55.29225908372828,Gpr34,Mitochondrial-Activated Microglia,1.062430663917931,0.9368021725219838,55.29225908372828
1.9184127596724394,12.63823064770932,Rgs1,Mitochondrial-Activated Microglia,0.0055184796282709,0.30982734376500154,12.63823064770932
1.3168849183142486,15.00789889415482,Ier5,Mitochondrial-Activated Microglia,-0.19789693150504814,0.2171453718914713,15.00789889415482
2.1090273028329425,17.061611374407583,Sox4,Mitochondrial-Activated Microglia,1.104156376594582,0.7184754885530142,17.061611374407583
1.3420505957888036,11.532385466034755,Ccl12,Mitochondrial-Activated Microglia,-0.3871848323634972,0.10388588719353024,11.532385466034755
1.0888729047396353,9.636650868878357,Gm4951,Mitochondrial-Activated Microglia,-0.10812104215868662,0.15153003656612918,9.636650868878357
0.4752465969411034,5.213270142180095,Ifi204,Mitochondrial-Activated Microglia,-0.5592250651920188,0.041576465518822305,5.213270142180095
119.63205111300074,99.52606635071089,Cst3,Mitochondrial-Activated Microglia,1.3418102968512555,1,99.52606635071089
49.27420683053745,97.1563981042654,Hexb,Mitochondrial-Activated Microglia,0.8468520310886196,0.973454947518506,97.1563981042654
40.437238708160216,95.41864139020537,Tanc2,Mitochondrial-Activated Microglia,0.6078958894226845,0.8334563177795791,95.41864139020537
68.43213546109082,99.21011058451816,mt-Cytb,Mitochondrial-Activated Microglia,2.194896871935388,1,99.21011058451816
66.95853224596372,99.52606635071089,mt-Nd1,Mitochondrial-Activated Microglia,2.3397629971911456,1,99.52606635071089
59.69757785066647,98.5781990521327,mt-Nd2,Mitochondrial-Activated Microglia,2.5,1,98.5781990521327
15.165464992127596,92.64069264069265,P2ry12,IEG-High Microglia,0.5549369050685662,0.6954649650635519,92.64069264069265
5.909160984654296,67.96536796536796,Fcrls,IEG-High Microglia,0.35186772801584093,0.5862913006295791,67.96536796536796
6.560345033453821,70.995670995671,Gpr34,IEG-High Microglia,0.7144285200478506,0.7192694095229728,70.995670995671
6.104945905509337,45.23809523809524,Rgs1,IEG-High Microglia,1.363850973386539,0.9859604843620524,45.23809523809524
5.16771299935495,64.28571428571429,Ier5,IEG-High Microglia,2.0817752457746663,1,64.28571428571429
2.805328367721606,33.116883116883116,Sox4,IEG-High Microglia,1.6487780906763758,1,33.116883116883116
0.855637136557035,15.800865800865802,Ccl12,IEG-High Microglia,-0.774172571243194,0.03874942542395245,15.800865800865802
0.32075414187242923,5.844155844155844,Gm4951,IEG-High Microglia,-0.8084620781130726,0.02333014406272963,5.844155844155844
0.3557808895030719,7.142857142857142,Ifi204,IEG-High Microglia,-0.6864848912993984,0.02111551913481016,7.142857142857142
76.56689485315457,99.78354978354979,Cst3,IEG-High Microglia,0.42161936490086344,0.5132412630301336,99.78354978354979
46.128109556204386,100,Hexb,IEG-High Microglia,0.7550326031113818,0.8989172580472289,100
45.73804986812783,99.78354978354979,Tanc2,IEG-High Microglia,0.7328378829048695,0.9519697712159663,99.78354978354979
