"log2foldchange","p.value","FDR","gene"
0.290449863414195,0.430592262934399,0.619226478834124,"Olfr446"
0.242701403736787,0.148879273052812,0.374912078804117,"Olfr447"
0.502500340529183,0.187857034135732,0.414364874631765,"Olfr448"
-0.194862903192214,0.0428802665270725,0.255125199303795,"Olfr449"
0.149460898882597,0.863736065871245,0.921829520258864,"Olfr45"
0.109877617772373,0.97701524728827,0.988331351244778,"Olfr450"
0.610649144384806,0.142225419455559,0.36885385630814,"Olfr452"
0.423807708906576,0.195209875959079,0.421273464204879,"Olfr453"
0.333609899934998,0.248563095798517,0.471028718277008,"Olfr455"
0.69079541273328,0.00180015247296603,0.174888157011517,"Olfr456"
0.260527550223219,0.188155996424529,0.414697097787549,"Olfr458"
0.46044795896879,0.0345359386004431,0.239417423700017,"Olfr459"
0.57390731221216,0.0164990147789342,0.213050200292349,"Olfr46"
0.454565863465481,0.0299134769143719,0.232749721204651,"Olfr460"
0.476099025015122,0.0265087058803602,0.228471787306754,"Olfr461"
0.408639728080693,0.099536015558476,0.322202068126466,"Olfr462"
0.69389687227432,0.0106661265262956,0.198802257439695,"Olfr463"
0.415037499278844,0.229184695917758,0.453582883353427,"Olfr464"
0.46044795896879,0.0766380749585201,0.298381428059569,"Olfr466"
0.321928094887362,0.17251704032064,0.398945588905892,"Olfr467"
0.935745458280703,0.000713171982738931,0.174888157011517,"Olfr469"
0.226350434905131,0.386898940669855,0.586061410140241,"Olfr472"
0.514573172829758,0.151278454187251,0.376963153671454,"Olfr473"
0.410737361845218,0.142631265045298,0.369117908859249,"Olfr476"
-0.255380833290359,0.0450902342790749,0.258349958863058,"Olfr477"
0.30954437043153,0.099685400899161,0.322202068126466,"Olfr479"
0.395928676331139,0.460440151094932,0.640853141859421,"Olfr48"
0.375699351328343,0.395226815824666,0.592840223736999,"Olfr480"
0.501251794331925,0.111275255977451,0.334378542800221,"Olfr481"
0.333609899934998,0.235431890191467,0.45913358655745,"Olfr482"
0.181997833742887,0.861592089785741,0.921548917825435,"Olfr483"
0.851477475289912,0.0690852629311844,0.287981184060559,"Olfr484"
0.276840205358824,0.0094945799871125,0.194576828417914,"Olfr485"
0.00507098954742213,0.558333229690186,0.712439579079371,"Olfr488"
0.613694219264473,0.154289190249164,0.379961482163927,"Olfr49"
0.355094958822562,0.551629039805228,0.708252789030681,"Olfr491"
0.354108500636512,0.293471043299054,0.507297277999282,"Olfr492"
0.445502780005895,0.114241700265514,0.337649480852374,"Olfr494"
0.717856771218502,0.324487018848591,0.534285678670244,"Olfr495"
0.546143251830628,0.175059852332069,0.401123463117426,"Olfr497"
0.124626654513745,0.697923047253997,0.813353953487319,"Olfr5"
0.220841969773048,0.411742231197072,0.605222405242962,"Olfr50"
0.393481355912397,0.794565539709774,0.877516863274496,"Olfr502"
0.533432200081074,0.000358101024849415,0.174888157011517,"Olfr503"
0.415037499278844,0.174025977784844,0.400143837149239,"Olfr504"
0.357261167999643,0.440591727951618,0.625924842704036,"Olfr506"
0.398163680714448,0.0838175797080712,0.305355266025522,"Olfr507"
0.290901199266738,0.0669824774833874,0.284077154646907,"Olfr508"
0.0358770363285967,0.424064645944516,0.614130764824756,"Olfr509"
0.31194400631474,0.194091701578523,0.420223269729987,"Olfr51"
0.219566377257685,0.400464972509227,0.596637875004182,"Olfr510"
0.343623165986681,0.14100272167387,0.367682519316978,"Olfr512"
0.60768257722124,0.377607128676483,0.578889970537054,"Olfr513"
0.450442835410043,0.0484714887390639,0.263139905884573,"Olfr514"
0.467778961350817,0.0453605615502041,0.259209752612311,"Olfr516"
0.503766417873175,0.399244639862843,0.595822480632631,"Olfr517"
0.167599948496069,0.285938213316102,0.501396575387915,"Olfr518"
0.175086706558091,0.76639903455777,0.85810396736198,"Olfr52"
0.706845605789871,0.0505328428377517,0.264872958510246,"Olfr520"
0.483679164883975,0.516805227499184,0.682194605556369,"Olfr521"
0.222392421336448,0.731174272378088,0.83633399181821,"Olfr522"
0.386468347082073,0.122768307390574,0.347950482148538,"Olfr523"
0.421463768438276,0.0654994243201036,0.282886090064454,"Olfr524"
0.812914447399505,0.00741830602964053,0.192606480311732,"Olfr525"
0.501906760993598,0.0741187899778884,0.296545000707829,"Olfr527"
0.154471349035799,0.650923963891889,0.781437585230328,"Olfr530"
0.529732980000764,0.542414734282381,0.701774769962078,"Olfr531"
0.683194337725225,0.335003300915218,0.543176380395055,"Olfr532"
0.433820974958259,0.111233821340381,0.334354696822267,"Olfr536"
0.375367353848823,0.189770065563326,0.415875996309195,"Olfr538"
0.355094958822562,0.294775258753921,0.508143671437458,"Olfr539"
0.650992371056353,0.0126715836158418,0.207166381768578,"Olfr54"
0.802149762926343,0.0505627445683051,0.264872958510246,"Olfr541"
0.537656785942799,0.0954099741681455,0.317499922160897,"Olfr543"
0.358453970912476,0.591460659205721,0.737275988451643,"Olfr544"
0.919829651316017,0.401579585803912,0.597520251328093,"Olfr545"
0.192645077942396,0.852667789160566,0.914613348050684,"Olfr547"
0.0887289185943319,0.529134233210306,0.691766164342401,"Olfr549"
0.408084738637077,0.295481242308808,0.508860892699927,"Olfr550"
0.430634354329863,0.102930370698661,0.325161585676004,"Olfr551"
