"","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D01.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D12.dcc"
"Nipsnap3b",0.364998175013858,-0.925342597392276,-0.925342597392276,-0.925342597392276,-0.925342597392276,-0.925342597392276,-0.11122821183487,-0.925342597392276,-0.925342597392276,0.364998175013858,2,-0.11122821183487,-0.925342597392276,-0.11122821183487,-0.925342597392276,0.364998175013858,0.364998175013858,-0.925342597392276,-0.925342597392276,0.964972466885427,-0.11122821183487,2,-0.11122821183487,0.702886173722536,0.702886173722536,-0.925342597392276,-0.925342597392276,0.702886173722536,0.364998175013858,-0.925342597392276,-0.11122821183487,-0.925342597392276,1.17911256057126,2,0.964972466885427,0.702886173722536,0.364998175013858,0.964972466885427,-0.11122821183487,-0.11122821183487,-0.925342597392276,-0.925342597392276
"Slk",-1.27732814825752,-1.27732814825752,-1.27732814825752,0.0769277536699575,0.43155253669407,-1.27732814825752,0.0769277536699575,-1.27732814825752,-1.27732814825752,0.43155253669407,2,0.43155253669407,-1.27732814825752,-0.422887805781724,0.0769277536699575,0.43155253669407,-1.27732814825752,-1.27732814825752,0.0769277536699575,-1.27732814825752,0.706620888342208,2,0.0769277536699575,0.931368096145752,0.43155253669407,-1.27732814825752,-0.422887805781724,0.0769277536699575,0.43155253669407,-0.422887805781724,-0.422887805781724,0.0769277536699575,1.12138915279649,2,0.931368096145752,0.706620888342208,0.706620888342208,0.43155253669407,-0.422887805781724,0.43155253669407,0.0769277536699575,0.0769277536699575
"Fut4",-0.779732834024842,-0.779732834024842,1.08095762020537,-0.779732834024842,-0.779732834024842,-0.779732834024842,-0.779732834024842,-0.779732834024842,0.0216229264430442,-0.779732834024842,2,0.0216229264430442,-0.779732834024842,-0.779732834024842,-0.779732834024842,0.490385996053643,-0.779732834024842,-0.779732834024842,-0.779732834024842,0.490385996053643,0.0216229264430442,2,0.0216229264430442,0.490385996053643,0.822978686910931,0.490385996053643,-0.779732834024842,-0.779732834024842,0.0216229264430442,-0.779732834024842,0.0216229264430442,0.0216229264430442,0.822978686910931,2,0.490385996053643,0.822978686910931,-0.779732834024842,0.490385996053643,0.0216229264430442,0.490385996053643,-0.779732834024842,-0.779732834024842
"Nsun2",-0.792519649296875,0.36906807873825,-0.792519649296875,-0.792519649296875,0.36906807873825,0.36906807873825,-0.278508891203161,-0.278508891203161,0.086187545540451,-1.6712268441342,2,-0.792519649296875,-1.6712268441342,0.36906807873825,-0.278508891203161,-0.792519649296875,0.086187545540451,-0.278508891203161,-0.278508891203161,0.795616124339796,0.600198303634165,2,1.11420906172788,0.36906807873825,1.11420906172788,0.36906807873825,0.600198303634165,-0.278508891203161,0.600198303634165,-0.792519649296875,-1.6712268441342,0.36906807873825,-0.278508891203161,1.8436019352151,-0.278508891203161,0.795616124339796,0.086187545540451,-1.6712268441342,0.086187545540451,0.086187545540451,-0.278508891203161,-1.6712268441342
"Fars2",-0.730160153032607,-0.205666703332706,-0.205666703332706,-0.730160153032607,0.166467321469249,-0.730160153032607,0.166467321469249,-1.62678762753446,0.69096077116915,-0.730160153032607,2,-1.62678762753446,-1.62678762753446,-0.205666703332706,-0.205666703332706,-0.205666703332706,-0.205666703332706,-0.205666703332706,-1.62678762753446,0.455116896159299,0.166467321469249,1.87623782036106,0.455116896159299,0.166467321469249,0.455116896159299,0.166467321469249,0.166467321469249,0.455116896159299,-0.205666703332706,-1.62678762753446,0.69096077116915,0.455116896159299,0.69096077116915,2,0.166467321469249,0.166467321469249,0.166467321469249,0.455116896159299,0.166467321469249,0.166467321469249,0.166467321469249,-1.62678762753446
"Prl8a1",-1.29162099446046,-1.29162099446046,-1.29162099446046,0.233646101572883,0.63305179160148,-1.29162099446046,0.233646101572883,-0.32928460142949,-0.32928460142949,-1.29162099446046,2,-1.29162099446046,-1.29162099446046,-0.32928460142949,0.63305179160148,-0.32928460142949,-0.32928460142949,-1.29162099446046,-0.32928460142949,0.63305179160148,0.63305179160148,2,1.4099988151902,0.233646101572883,-0.32928460142949,0.233646101572883,0.233646101572883,-0.32928460142949,-0.32928460142949,-0.32928460142949,0.233646101572883,-0.32928460142949,0.233646101572883,2,0.63305179160148,0.233646101572883,1.19598249460385,0.63305179160148,0.233646101572883,-0.32928460142949,-0.32928460142949,-1.29162099446046
"Agbl1",-0.843556577886895,-0.843556577886895,-0.331128416046081,0.0324451507864465,-0.331128416046081,-0.331128416046081,-1.71955830656024,-0.843556577886895,0.314454718416291,-0.843556577886895,2,-0.331128416046081,0.0324451507864465,-0.331128416046081,-0.843556577886895,0.314454718416291,0.0324451507864465,-1.71955830656024,0.54487331262726,-0.331128416046081,0.0324451507864465,1.93330320314141,0.0324451507864465,0.0324451507864465,0.908446879459788,0.739689458161838,0.54487331262726,-0.331128416046081,-0.843556577886895,-0.843556577886895,-1.71955830656024,0.314454718416291,0.314454718416291,2,1.05730147446807,0.908446879459788,1.52203328338285,1.4208750413006,0.0324451507864465,-0.843556577886895,-0.843556577886895,-0.843556577886895
"Kcnh4",-1.22339493031579,0.283188799315592,0.283188799315592,0.283188799315592,-1.22339493031579,-1.22339493031579,-0.272846429044695,-1.22339493031579,-1.22339493031579,0.283188799315592,2,-1.22339493031579,0.283188799315592,-0.272846429044695,-1.22339493031579,-0.272846429044695,-1.22339493031579,-0.272846429044695,-0.272846429044695,0.6777020722264,0.283188799315592,2,0.6777020722264,1.4451320833821,-0.272846429044695,-0.272846429044695,-0.272846429044695,-0.272846429044695,-0.272846429044695,-1.22339493031579,0.283188799315592,0.6777020722264,-1.22339493031579,2,0.98371034033864,0.283188799315592,0.283188799315592,0.283188799315592,-0.272846429044695,0.283188799315592,0.283188799315592,-0.272846429044695
"Sertm1",0.35790357086178,-0.132549296404547,-0.970984010872028,-0.970984010872028,-0.970984010872028,-0.970984010872028,-0.970984010872028,-0.970984010872028,-0.970984010872028,-0.132549296404547,2,-0.970984010872028,-0.132549296404547,-0.132549296404547,-0.970984010872028,-0.970984010872028,-0.970984010872028,-0.132549296404547,-0.970984010872028,0.705885418062935,0.35790357086178,1.81423582284636,0.705885418062935,0.705885418062935,0.35790357086178,-0.132549296404547,0.35790357086178,0.35790357086178,-0.970984010872028,0.35790357086178,-0.970984010872028,-0.132549296404547,-0.132549296404547,2,-0.132549296404547,-0.132549296404547,1.19633828532926,-0.132549296404547,0.35790357086178,0.97580110837888,0.35790357086178,-0.132549296404547
"Smco1",-0.163572485842867,-0.996920399185166,0.323904793516601,0.323904793516601,-0.996920399185166,-0.996920399185166,-0.996920399185166,-0.996920399185166,-0.996920399185166,-0.163572485842867,2,-0.996920399185166,-0.996920399185166,-0.996920399185166,-0.163572485842867,0.323904793516601,0.669775427499432,-0.163572485842867,-0.163572485842867,-0.996920399185166,0.323904793516601,2,0.323904793516601,0.938053533620077,0.669775427499432,0.323904793516601,0.669775427499432,-0.163572485842867,0.323904793516601,-0.163572485842867,-0.996920399185166,-0.163572485842867,0.323904793516601,2,0.323904793516601,0.669775427499432,0.938053533620077,-0.996920399185166,-0.163572485842867,-0.163572485842867,-0.996920399185166,-0.996920399185166
