"Gene","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"Csprs",0,1,0,2,0,0,0,0,1,0,0,4.8073549220576,0,0,2,0,0,0,0,1.58496250072116,1,1.58496250072116,3.90689059560852,0,1,0,1,2,0,0,0,2,1,0,0,1,0,0,1,1,1,0,1
"Csrnp1",0,0,0,1.58496250072116,0,0,1,0,0,0,0,4.70043971814109,0,0,1,1,0,0,1.58496250072116,1.58496250072116,1,0,3.32192809488736,1,1,1,1.58496250072116,1,1.58496250072116,1,1,0,1.58496250072116,2,0,0,1,1,1.58496250072116,1.58496250072116,0,0,0
"Csrnp2",1,0,2,1.58496250072116,1,0,1,0,0,0,1,5.39231742277876,1,0,0,0,1,1,2,1.58496250072116,0,0,3.90689059560852,2,1,1,1,2.32192809488736,0,2.8073549220576,0,0,1,2.32192809488736,0,2.58496250072116,1.58496250072116,0,2.58496250072116,2,0,0,0
"Csrnp3",0,0,1.58496250072116,2,1,0,1,0,0,0,0,4.75488750216347,0,1,1.58496250072116,1,1,0,2,0,1,0,3.58496250072116,1.58496250072116,1,1,0,1,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0
"Csrp1",2.32192809488736,2.8073549220576,3.16992500144231,3,3.32192809488736,3.58496250072116,2.58496250072116,2.8073549220576,2.8073549220576,3.32192809488736,3,5.16992500144231,3.70043971814109,2.8073549220576,2,2.8073549220576,3.90689059560852,3.70043971814109,3.32192809488736,3.32192809488736,3.16992500144231,3,3.90689059560852,2,2,1.58496250072116,2,2.58496250072116,3.16992500144231,3.16992500144231,3.32192809488736,3.16992500144231,3.70043971814109,3.70043971814109,2.8073549220576,2.58496250072116,2.32192809488736,1,3.16992500144231,3.16992500144231,1,1,2
"Csrp2",0,0,2.32192809488736,1.58496250072116,0,0,1,2,0,0,3.70043971814109,4.85798099512757,0,0,0,0,0,0,0,2,1,0,3.32192809488736,2,0,1,1,1.58496250072116,1,0,0,0,1.58496250072116,1,1.58496250072116,0,2.32192809488736,0,0,2,1,0,0
"Csrp3",0,0,0,0,0,0,0,1,0,2,0,4.52356195605701,0,0,1,0,0,0,0,0,0,1,3.90689059560852,2.32192809488736,0,1.58496250072116,0,0,1.58496250072116,0,1,0,0,0,0,1,0,1,0,1.58496250072116,0,0,1
"Cst10",0,0,0,1.58496250072116,0,0,0,0,0,0,0,4.75488750216347,1,0,0,0,0,0,2,0,0,1,4,1.58496250072116,2.32192809488736,2.58496250072116,0,0,0,2,1.58496250072116,2,2,1.58496250072116,0,0,1,0,1.58496250072116,0,2,0,0
"Cst11",1.58496250072116,0,0,1,0,0,0,1.58496250072116,0,0,0,4.90689059560852,0,1.58496250072116,0,0,0,1.58496250072116,0,0,0,1,3.8073549220576,1,0,0,2,1,1,0,1,0,1,1.58496250072116,0,1.58496250072116,2.32192809488736,1.58496250072116,0,1.58496250072116,0,1,0
"Cst12",1,0,1.58496250072116,0,0,0,0,0,0,1,0,4.58496250072116,0,4.85798099512757,0,1,0,0,0,0,1,0,3.70043971814109,1,0,0,0,2.58496250072116,1,1,0,1.58496250072116,1,1,0,0,1.58496250072116,1.58496250072116,0,0,1,0,0
"Cst13",0,0,0,0,1.58496250072116,0,0,0,1,0,0,4.70043971814109,0,1.58496250072116,0,0,0,0,0,0,0,0,3.58496250072116,0,1,1.58496250072116,0,1,0,1,0,1,0,1,0,0,0,0,2.32192809488736,0,1,0,0
"Cst3",0,1,2,1,2.32192809488736,2.32192809488736,1.58496250072116,0,1,2.58496250072116,0,4.8073549220576,2.8073549220576,0,2,3,0,1,0,0,0,2.32192809488736,3.4594316186373,1.58496250072116,0,2.32192809488736,0,0,1.58496250072116,2.58496250072116,1.58496250072116,1,2,2.32192809488736,0,2,2.32192809488736,1,0,2.58496250072116,0,0,0
"Cst6",0,0,0,0,0,1,0,0,2,2,0,5.12928301694497,0,0,0,0,1,0,0,0,1,1,3.58496250072116,1,0,0,0,2,0,2,0,0,0,1.58496250072116,2.58496250072116,0,2.58496250072116,0,2,1.58496250072116,0,0,0
"Cst7",0,2,0,1,2,1.58496250072116,2,1.58496250072116,0,0,1,4.90689059560852,0,0,1,0,0,0,0,2,1,0,3.4594316186373,0,1,1.58496250072116,0,0,0,1.58496250072116,0,1.58496250072116,0,2,0,1,2,2,1,2,0,0,0
"Cst8",0,0,0,2.32192809488736,0,0,0,0,0,0,0,4.52356195605701,0,0,1,0,0,1.58496250072116,0,0,0,0,3.32192809488736,1.58496250072116,0,1,1.58496250072116,0,1,1,1,1.58496250072116,0,1.58496250072116,0,1,1.58496250072116,0,0,0,1.58496250072116,0,0
"Cst9",1.58496250072116,1.58496250072116,1,0,0,1,0,0,1.58496250072116,0,1,5.08746284125034,0,0,0,2,0,1,0,1,1,0,3.58496250072116,1.58496250072116,2.32192809488736,2.32192809488736,2,0,1,2.32192809488736,0,1,0,1.58496250072116,1,0,2,1,1.58496250072116,1,0,2,1
"Csta1",0,0,0,0,0,0,1,0,1,0,1.58496250072116,5.4594316186373,0,1,0,1,0,1.58496250072116,0,0,0,0,3.70043971814109,3.32192809488736,0,1,1,0,0,1,0,1,1,0,2,1.58496250072116,2,0,1,1,1,0,0
"Csta2",1,1,1.58496250072116,0,2,1.58496250072116,1.58496250072116,2,0,0,1.58496250072116,4.85798099512757,1,0,0,0,2.8073549220576,1.58496250072116,2,0,2.8073549220576,1,3,1,2.8073549220576,0,0,1.58496250072116,0,0,1.58496250072116,2.58496250072116,0,0,1.58496250072116,2,1.58496250072116,1,2,1.58496250072116,1,0,0
"Csta3",1,0,0,1,0,0,1.58496250072116,0,1,1.58496250072116,0,4.8073549220576,0,0,0,1,2,0,1,0,0,0,3.8073549220576,0,2.58496250072116,0,1,2.58496250072116,0,0,0,2,1,3,0,3,2,2.32192809488736,1,1.58496250072116,0,0,0
"Cstad",0,0,0,0,0,0,1,0,0,0,1.58496250072116,4.8073549220576,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1.58496250072116,1.58496250072116,0,0,0,1,0,2,1.58496250072116,1,1.58496250072116,1,0,0,0
"Cstb",0,0,0,1.58496250072116,1,1,0,0,0,1.58496250072116,0,4.8073549220576,1.58496250072116,2,0,1.58496250072116,0,0,0,2,1,0,2.8073549220576,0,0,0,1.58496250072116,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Cstdc1",0,2,0,1,0,0,0,1,0,0,1,4.8073549220576,0,1,0,0,0,0,0,0,1.58496250072116,0,4.16992500144231,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1.58496250072116,1,1,0,0
"Cstdc2",0,0,1.58496250072116,0,0,0,0,0,0,1.58496250072116,1.58496250072116,4.85798099512757,0,0,0,0,0,0,1,0,0,0,3.90689059560852,0,1,0,1.58496250072116,1,0,0,1.58496250072116,0,0,2,1,1.58496250072116,1,1.58496250072116,1.58496250072116,2.58496250072116,0,0,0
"Cstdc3",0,0,0,0,0,1.58496250072116,0,1,1,1,0,4.75488750216347,0,0,1,0,0,0,0,1,1,0,3.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,0,1,0,2.32192809488736,1,0,2,0,1,0,0,1.58496250072116,0,1,0,0,1
"Cstdc5",0,0,0,0,0,1,0,0,0,0,1,4.70043971814109,0,0,1,1,0,1,0,0,0,1,3.58496250072116,1,1,0,1,0,0,1.58496250072116,0,1.58496250072116,1,0,0,0,0,0,0,0,0,0,0
"Cstf1",0,1.58496250072116,0,1,0,1,0,0,0,0,1,4.52356195605701,0,0,0,0,0,0,0,0,0,2,4.24792751344359,0,1,0,2,0,0,0,1,0,0,0,1,1,1.58496250072116,1.58496250072116,2,0,1,0,0
"Cstf2",0,1,0,0,0,0,0,0,1,1.58496250072116,1.58496250072116,4.39231742277876,1,0,1.58496250072116,0,0,1.58496250072116,1,0,2,1,3.70043971814109,0,1.58496250072116,1,1.58496250072116,1.58496250072116,0,0,1,0,0,2.32192809488736,1,0,0,1,1,0,0,0,0
"Cstf2t",1,0,2.32192809488736,0,0,0,1.58496250072116,2,1,0,0,4.75488750216347,2,1,1.58496250072116,0,1.58496250072116,0,0,0,0,1.58496250072116,2.8073549220576,1.58496250072116,1,0,0,0,2,1.58496250072116,0,0,0,0,0,0,0,1,1,0,1,0,0
"Cstf3",1.58496250072116,2,1.58496250072116,1,0,1.58496250072116,2,1.58496250072116,2.32192809488736,0,1,4.4594316186373,2.32192809488736,0,1,0,1,2,1.58496250072116,2,2,1.58496250072116,3,2,1,1.58496250072116,0,1.58496250072116,2.32192809488736,2.32192809488736,1,1,2,2,1,1,2,1.58496250072116,2.32192809488736,1.58496250072116,2,0,2
"Cstl1",1,0,0,0,0,1,0,0,0,1,2,5.04439411935845,0,0,2,0,0,0,1.58496250072116,2.32192809488736,1.58496250072116,0,3.58496250072116,1,1.58496250072116,1,2.58496250072116,0,0,1,1.58496250072116,1.58496250072116,1.58496250072116,0,0,1.58496250072116,0,0,2.32192809488736,2.58496250072116,2,1.58496250072116,0
"Ct55",0,0,1,0,0,0,0,1.58496250072116,0,0,0,4.70043971814109,1.58496250072116,0,0,0,1,0,1,0,0,1,3.8073549220576,1,0,1,1,1.58496250072116,0,0,1,1,0,2,0,0,0,0,1,1.58496250072116,1,0,0
"Ctag2",0,0,0,0,0,0,0,1,1,0,0,4.64385618977472,0,1.58496250072116,1,0,0,0,0,0,0,0,3.70043971814109,0,2,1,2,0,1.58496250072116,1.58496250072116,0,1,1,1,0,0,2,2,1,2,0,0,0
"Ctag2l1",0,0,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1,1.58496250072116,1,0,2,4.8073549220576,2.32192809488736,0,2.58496250072116,0,2,2,0,1,2.32192809488736,2.8073549220576,3.8073549220576,1,1,2,2,3,2.8073549220576,2,1.58496250072116,2,2.58496250072116,0,0,2.58496250072116,2,2.58496250072116,1,3,2,2.58496250072116,0
"Ctbp1",1.58496250072116,0,2.32192809488736,0,1.58496250072116,1.58496250072116,0,2,1,0,1,4.90689059560852,2,1.58496250072116,1,2,1.58496250072116,1.58496250072116,1,1,0,2.58496250072116,3.4594316186373,2.32192809488736,2,2.32192809488736,0,2,0,2.32192809488736,2.58496250072116,2,3.8073549220576,1,2,2,1.58496250072116,1.58496250072116,0,1.58496250072116,2.58496250072116,0,1.58496250072116
"Ctbp2",1,1,0,2.32192809488736,1,2,1,0,2,1,2,5.20945336562895,0,2,0,1,2,1,1.58496250072116,2,1,1,3.70043971814109,1,0,2,2.32192809488736,1,1,2,0,4.32192809488736,1,2.58496250072116,0,1.58496250072116,1,1.58496250072116,2.32192809488736,2.32192809488736,0,2,1
"Ctbs",0,0,0,0,0,0,2.32192809488736,1,1,0,0,4.95419631038687,0,1,0,1,1.58496250072116,1,0,2,0,0,3.90689059560852,2,0,1,1,0,2.32192809488736,0,1,0,1.58496250072116,2,0,2.58496250072116,0,0,0,0,1,0,0
"Ctc1",0,1.58496250072116,1,0,0,0,1,0,0,0,0,5.04439411935845,1,0,0,0,0,0,0,0,1.58496250072116,0,3.58496250072116,0,0,0,0,2.32192809488736,2,0,0,1,1,1.58496250072116,0,1,0,0,0,0,1,0,0
"Ctcf",0,0,0,0,1,1,0,1.58496250072116,2.58496250072116,1,1.58496250072116,5.12928301694497,1,1,0,0,1,1.58496250072116,1,2,0,0,3.4594316186373,0,2,1.58496250072116,2.32192809488736,1,0,1.58496250072116,0,0,1.58496250072116,2,0,0,1.58496250072116,0,0,1.58496250072116,0,0,0
"Ctcfl",1,1,0,0,0,1.58496250072116,1.58496250072116,2,1,0,0,5,0,0,0,0,0,1,1.58496250072116,0,0,0,3.32192809488736,0,0,0,1,1,0,0,0,1.58496250072116,0,0,1,1.58496250072116,0,1.58496250072116,0,1.58496250072116,1,0,0
"Ctdnep1",3,0,2,2.32192809488736,2,1.58496250072116,1,2,2,0,1.58496250072116,5.39231742277876,2.32192809488736,2,2,2,0,1,1,2,1.58496250072116,2.58496250072116,4,2,1.58496250072116,0,2,1.58496250072116,1,1.58496250072116,1.58496250072116,1,1,2.58496250072116,1.58496250072116,1.58496250072116,0,2,0,2.58496250072116,1,0,0
"Ctdp1",1.58496250072116,1,1.58496250072116,0,0,1,1,0,2,1,1.58496250072116,5.08746284125034,1.58496250072116,0,0,1.58496250072116,1.58496250072116,2,1,0,2,1,4.08746284125034,2,2.32192809488736,2,0,1.58496250072116,0,2,0,1,0,2.32192809488736,1.58496250072116,1.58496250072116,2,0,0,2.58496250072116,1,0,1
