"log2foldchange","p.value","FDR","gene","direction"
0.334432754219337,0.140947579565834,0.769062230404916,"Calr4","ns"
0.0923679806273383,0.544081768048881,0.962744449880033,"Calu","ns"
-0.0884848623457097,0.811891653369796,0.998180567365338,"Caly","ns"
0.277737387258354,0.483144976995597,0.948592676755966,"Camk1","ns"
0.547978457193916,0.068876332423664,0.638646578235759,"Camk1d","ns"
0.180282763983259,0.0981045843707602,0.715578932414061,"Camk2a","ns"
-0.222133070345357,0.723828452502305,0.985922518491801,"Camk2d","ns"
-0.185797117441125,0.259473208935496,0.864657945707006,"Camk2g","ns"
-0.216913246664697,0.535710593934919,0.961914848836852,"Camk2n2","ns"
0.0804348853541397,0.585608964321654,0.969025007555918,"Camkk1","ns"
0.269557332650836,0.389755717262383,0.914441647138437,"Camkk2","ns"
-0.366580787559153,0.199774561420373,0.82649529522339,"Camkmt","ns"
0.106891640447619,0.968947256446415,1,"Camkv","ns"
-0.161191604882725,0.436231022508329,0.934722483373357,"Caml","ns"
0.509959588027338,0.066674033736686,0.638646578235759,"Camsap1","ns"
-0.183737130157107,0.480269297654896,0.948592676755966,"Camsap2","ns"
-0.338056409006644,0.54867114447644,0.962744449880033,"Camsap3","ns"
-0.355176214972889,0.129105853711405,0.753731584930535,"Camta1","ns"
-0.212078265954486,0.312946017437729,0.893070029324815,"Canx","ns"
-0.191675604002569,0.292113303247556,0.882736202882147,"Cap1","ns"
0.124388145134986,0.906276498008175,1,"Cap2","ns"
0.208042193661935,0.200548926787543,0.82649529522339,"Capg","ns"
-0.556838339930431,0.812838193529661,0.998180567365338,"Capn10","ns"
-0.358155237275521,0.194763617006209,0.82649529522339,"Capn11","ns"
0.360199230947068,0.36634056177758,0.910719461804429,"Capn5","ns"
-0.23479946748819,0.72036057866242,0.985922518491801,"Capn9","ns"
-0.326608894907999,0.641289111130371,0.974811859859798,"Capns1","ns"
0.340574653732466,0.151632523883614,0.782954141698409,"Caprin1","ns"
-0.553550024956886,0.0141125242357127,0.400966334236717,"Caprin2","ns"
0.0996822693989514,0.353853786648821,0.905338102473947,"Capsl","ns"
0.747016209486184,0.036459691852058,0.551899970323017,"Capza1","ns"
-0.24595382256499,0.278090868381842,0.869905614529372,"Capza2","ns"
-0.44346283438033,0.33118496150849,0.895215226969384,"Car11","ns"
-0.128907900041938,0.528118795053267,0.961914848836852,"Car2","ns"
-0.235155170613925,0.21181545703444,0.838845217790513,"Car5b","ns"
0.017083954556921,0.936821199630754,1,"Car7","ns"
0.269855799956447,0.332105962422897,0.895215226969384,"Card19","ns"
-0.0155811640274239,0.753641249834837,0.99025616289514,"Carf","ns"
-0.1908302078904,0.936263494208211,1,"Carhsp1","ns"
-0.154928883110039,1,1,"Carm1","ns"
-0.116542787309166,0.0837205514423073,0.672817560247487,"Cars","ns"
