Gene,Ding_log2FC,Ding_pct_HSV,Ding_pct_Mock,Ding_padj,CurrentStudy_log2FC,CurrentStudy_pct_HSV,CurrentStudy_pct_Mock,CurrentStudy_padj,Homeostatic Microglia,Transiently Activated Microglia,IFN-Responsive Microglia,Primed Microglia,Mitochondrial-Activated Microglia,IEG-High Microglia
Ifi211,0.440894198429681,0.15069444444444444,0.001,1.89167000299341e-256,3.224617677202393,0.03,0.002,1.228886370991531e-9,0.06445843256342745,0.041456990994368365,0.5606142689987438,0.35893313365596596,0.13275993957133875,0.033441162348288506
Ifitm3,268990957328069,0.6520833333333333,0.079,0,3.217382064295953,0.107,0.016,3.7595373353550594e-36,0.4055918211335854,0.28501953107001504,1.0532649464881407,1.5895550989713467,0.5436757621805636,0.23422341426109267
Ccl5,0.883108404628411,0.10833333333333334,0.008,1.10522273510251e-151,3.1486433953560247,0.041,0.007,1.7877748499162484e-10,0.17093524596489768,0.12649396660638648,0.3100825505079532,0.8563791881114194,0.26514513426041575,0.11699361826609901
H2-Q6,0.303952987754128,0.11388888888888889,0.006,1.36909417709999e-166,3.0865231794282355,0.044,0.007,5.034096654396136e-12,0.13207028089231054,0.1331619341144702,0.4270245817452156,0.2852406853405195,0.20172742294215174,0.1300877561528859
Cxcl10,133293101304386,0.21388888888888888,0.003,0,3.0463357072422306,0.032,0.003,4.3383441732791973e-10,0.10750826099123474,0.08890115217362685,0.8491041106864653,0.4056255419893618,0.2148939125557566,0.16802318533736227
C4b,0.327628420015043,0.1076388888888889,0.003,2.06948440325965e-162,2.961016394209761,0.037,0.006,1.3076289884467066e-9,0.060252104682184615,0.0907859883035475,0.5889165040633129,0.2222534172901102,0.16553363694956044,0.11244456039233672
Fgl2,0.507552061620279,0.18680555555555556,0.016,1.65634593583034e-289,2.906197108907601,0.061,0.01,1.7012429900193822e-17,0.14704916762469517,0.11329117453351661,0.9316991774217424,0.44966796163619427,0.22420892317464242,0.17433341097315222
Gm4951,0.273863924026393,0.010416666666666666,0.007,5.47696485403582e-146,2.8855853152370683,0.172,0.04,1.506457884182119e-50,0.572567748774927,0.3988143590367743,5.015605395393582,0.94865798106334,1.0888729047396353,0.32075414187242923
Ccl12,250820973877119,0.4895833333333333,0.09930555555555555,0,2.8847719775319174,0.233,0.056,2.3618258741163373e-71,0.9119679023707733,0.65677559217367,8.033878085874893,2.8439267192226487,1.3420505957888031,0.8556371365570351
H2-Ab1,105457214688021,0.25277777777777777,0.022,0,2.8149163062134903,0.115,0.024,9.113761148554901e-33,0.4645573464248826,0.3621235058591586,1.4573447140371127,1.0699842071220598,0.7138440129529804,0.46764407560473625
AW112010,0.543249451578512,0.18819444444444444,0.067,7.79522782431451e-178,2.7477284311755223,0.039,0.009,2.6257999679181225e-8,0.16062488423454976,0.0986245913482626,0.2289043398020275,0.6893760176500786,0.2660608661614877,0.12936553644468718
Isg15,0.840954594479243,0.22291666666666668,0.014,0,2.7036590725688505,0.029,0.005,1.2811866328464982e-6,0.06886076827949306,0.06841839267394302,0.4770447789548757,0.29519948072691893,0.04200882612152282,0.04844305010130907
Ly6a,199571770417251,0.5861111111111111,0.059,0,2.6905254365198634,0.053,0.01,3.2484102833563217e-13,0.18267685174234632,0.1280405506021947,0.5899665042837375,0.6318305753249971,0.1984209700367833,0.10098758049693299
