"log2foldchange","p.value","FDR","gene","direction"
-1.46125538938002,0.162826573843756,0.706481725060939,"Defb25","ns"
-0.514989975423801,0.193564216736149,0.741494396591267,"Defb28","ns"
-0.138966857476476,0.773838137107637,0.971741185318365,"Defb3","ns"
-0.0253374047398749,0.848713827551324,0.978695608857197,"Defb30","ns"
-0.166396317239047,0.520061775343428,0.909167345051908,"Defb39","ns"
-0.27427387368808,0.784764769425053,0.972042380725181,"Defb42","ns"
-0.186418790518927,0.727526138097171,0.9655412456893,"Defb46","ns"
-0.170205180755515,0.89845054267687,0.986361133324179,"Defb48","ns"
-0.216231942373962,0.578023809637697,0.935435411624522,"Defb50","ns"
-0.319630833333084,0.501877929494396,0.902647289859551,"Defb8","ns"
-0.533111022122253,0.0550710510147614,0.516422151397102,"Defb9","ns"
0.65807448264216,0.00683847397430524,0.21036982045868,"Dek","ns"
-0.259660574338882,0.366674585255693,0.852027204813155,"Dennd11","ns"
-0.0587597232622106,0.613746071979213,0.944347777222566,"Dennd1b","ns"
0.138711376182009,0.478568330186708,0.894472036055775,"Dennd2a","ns"
-0.281563030244809,0.911948470634532,0.988504016325235,"Dennd3","ns"
0.119959819385894,1,1,"Dennd4a","ns"
-1.21620726053833,0.332784845481436,0.836105699388403,"Dennd4b","ns"
0.00380536614211358,0.899203193155303,0.986361133324179,"Dennd4c","ns"
-0.143009672233418,0.286313453768351,0.810861772038283,"Dennd5a","ns"
-0.866693308491351,0.282594949513826,0.80959634185042,"Dennd6a","ns"
0.221485306964566,0.175763613158063,0.726764116717467,"Denr","ns"
-0.367584839548127,0.288329245000221,0.811533092181434,"Depdc1b","ns"
-0.587506043846193,0.0196544435163109,0.345769558835267,"Depdc5","ns"
0.0915797252061061,0.886499732440363,0.985759182640413,"Derl1","ns"
0.0274521275911495,0.887058273121392,0.985759182640413,"Derl2","ns"
-0.791860224810526,0.150164823636826,0.686556629929984,"Derl3","ns"
-0.112407395141297,0.838136849070804,0.975665375563718,"Desi1","ns"
-0.565923535167475,0.342615591701841,0.844102356110195,"Dexi","ns"
-0.436274204160913,0.139259550274042,0.675617108313743,"Dgcr6","ns"
0.358457630522803,0.154377028705771,0.693000585880665,"Dgcr8","ns"
-0.353598804042037,0.295773818634861,0.815380064942375,"Dgka","ns"
-0.399001811884491,0.124575367808949,0.656353506679814,"Dgkb","ns"
0.156065790808904,0.801170117733179,0.972042380725181,"Dgki","ns"
-0.0561876672285071,1,1,"Dgkk","ns"
-0.2750762248107,0.518798705524987,0.909167345051908,"Dhcr7","ns"
-0.0137197214493927,0.495654021920377,0.901577122570189,"Dhdds","ns"
-0.0394288259893978,0.859504415962257,0.982774703041595,"Dhfr","ns"
-0.498647828600701,0.117989412780896,0.649037259259603,"Dhodh","ns"
-0.10796516909012,0.752080424492417,0.967919335290945,"Dhps","ns"
-0.340635183629036,0.0947162648701909,0.610588146284048,"Dhrs1","ns"
-0.250106013329724,0.614672679616659,0.944347777222566,"Dhrs7","ns"
-0.115631251044259,0.763476774820468,0.970597173815904,"Dhrs7b","ns"
0.142544998316748,0.406233805110795,0.864860429196858,"Dhrs9","ns"
-0.00832940918314851,0.611983639950378,0.944347777222566,"Dhx15","ns"
0.400776972329698,0.0307550580728022,0.412517500624569,"Dhx16","ns"
-0.412730638099665,0.177912806249113,0.727106803089348,"Dhx29","ns"
-0.326455033663072,0.0657292650012669,0.544695547013467,"Dhx34","ns"
-0.204715066161729,0.188470393404595,0.739057696686945,"Dhx38","ns"
0.0723626077769,0.937176582821693,0.991940903808069,"Dhx9","ns"
-0.00373434120089988,0.912433020736691,0.988504016325235,"Diaph1","ns"
-0.31858000350558,0.492658151198966,0.89983925114518,"Dicer1","ns"
-0.00934462094904021,0.898783622000735,0.986361133324179,"Dido1","ns"
-0.284569690431873,0.124546078481615,0.656353506679814,"Dio2","ns"
-0.545917103121185,0.0596945676473156,0.52863416874981,"Dip2a","ns"
-0.322875066378143,0.420581023788172,0.871145270625257,"Dip2b","ns"
-0.354031251846566,0.357015097440205,0.848848502545222,"Dip2c","ns"
-0.160985995766583,0.402211032600539,0.864246485742893,"Dipk1b","ns"
-0.0879106682177544,0.900250489498409,0.986361133324179,"Diras2","ns"
1.50905073626181,0.764372973821794,0.970597173815904,"Disp1","ns"
-0.624334352813305,0.0228332920755487,0.367821853868697,"Disp2","ns"
0.120626308070494,0.974937425172873,0.999667018391994,"Disp3","ns"
-0.374658957242251,0.103857990731915,0.630934918893089,"Dkk2","ns"
-0.0514557756681049,0.420706741165617,0.871145270625257,"Dkk3","ns"
-0.244950854164962,0.338717572768763,0.841374152120492,"Dlat","ns"
-0.0369722572447331,0.987491545224385,1,"Dld","ns"
0.0520062367723819,0.678232572623518,0.959346451338753,"Dleu7","ns"
0.231772747848582,0.117116920636912,0.648635643791999,"Dlg1","ns"
-0.206080940590205,0.836963170305998,0.975665375563718,"Dlg2","ns"
0.314724102692087,0.246150786023907,0.788850624632299,"Dlg3","ns"
-0.0863951611441158,0.70755907265367,0.963787427559965,"Dlg4","ns"
-0.648805268591918,0.0343082208663454,0.429905127904942,"Dlg5","ns"
0.00866576745571179,0.899432325281682,0.986361133324179,"Dlgap1","ns"
-0.443040226691074,0.10572458790262,0.631932690290181,"Dlgap2","ns"
0.117718331992712,0.900004096081183,0.986361133324179,"Dlgap3","ns"
-0.260733788512995,0.243003929298046,0.788469388238378,"Dll1","ns"
-0.400159865370122,0.201781794366315,0.749079838588778,"Dll3","ns"
-0.547122876660892,0.0648195999780841,0.541564226837225,"Dlst","ns"
-0.409798073515967,0.173799631517112,0.723554826530261,"Dlx1","ns"
-0.326956981319738,0.312134070527514,0.825920476650869,"Dlx3","ns"
-0.0496482543849792,0.800251642338447,0.972042380725181,"Dlx6","ns"
0.0662819152776437,0.949235817864996,0.995351869948558,"Dmac2l","ns"
-1.0060005564986,0.697534951856602,0.963787427559965,"Dmbt1","ns"
-0.213664932677196,0.36825288454891,0.852027204813155,"Dmd","ns"
-0.376680429271524,0.16818786221544,0.714482471106859,"Dmpk","ns"
-0.457002394689193,0.130876403309561,0.664626499286684,"Dmrt2","ns"
-0.0425305728385195,0.813092180575,0.972042380725181,"Dmrt3","ns"
-0.300580530122007,0.394140731691802,0.858636568397154,"Dmrtb1","ns"
-0.544031932041557,0.0336700244733564,0.427102792500743,"Dmrtc1a","ns"
-0.450199687932162,0.030478961014017,0.410999709390303,"Dmrtc2","ns"
0.299491071541961,0.520061775343428,0.909167345051908,"Dmtf1","ns"
-0.817761874431272,0.507018644218708,0.906505105216544,"Dmtn","ns"
-0.0464008576623771,0.937344979451428,0.991940903808069,"Dmwd","ns"
0.0179248612289971,0.96232157055176,0.998427421821215,"Dmxl2","ns"
0.0883627401532878,0.712789814924529,0.963979212933434,"Dnaaf5","ns"
-0.39942996666067,0.213225479958501,0.762078604000206,"Dnah14","ns"
-0.208505533281138,0.896583190913079,0.986361133324179,"Dnah17","ns"
-0.0735377863049418,0.962177452849007,0.998427421821215,"Dnah3","ns"
-0.318530107104403,0.0977418422768972,0.617441567909731,"Dnah8","ns"
0.381789268596139,0.260072475403292,0.79643921911937,"Dnaja1","ns"
-0.456442209765331,0.279103037455835,0.807683349814693,"Dnaja4","ns"
-0.172572199849774,0.519087363109178,0.909167345051908,"Dnajb14","ns"
-0.260277388057624,0.434899749743829,0.876709317369962,"Dnajb2","ns"
0.504211260433256,0.0206894716099959,0.356170814697194,"Dnajb6","ns"
0.0365051526079803,0.774968406445115,0.971741185318365,"Dnajb9","ns"
-0.118309938398842,0.57167756488591,0.931353873714553,"Dnajc10","ns"
-0.229699148071843,0.874574196918885,0.98384160066753,"Dnajc11","ns"
0.346609804792164,0.349387470097018,0.846822192356708,"Dnajc13","ns"
0.254799283035965,0.376825310885177,0.854130622421927,"Dnajc14","ns"
-0.158063767487517,0.738823448520927,0.966848389930146,"Dnajc16","ns"
-0.0201838008698876,0.949574874715333,0.995351869948558,"Dnajc18","ns"
-0.0729603854720544,0.465693224170253,0.889935826443512,"Dnajc19","ns"
-0.479937772126621,0.129315123373588,0.66152314698544,"Dnajc27","ns"
0.125040007602535,0.724158316537996,0.9655412456893,"Dnajc30","ns"
-0.153924446696511,0.718982288956652,0.963979212933434,"Dnajc5","ns"
0.227513307430802,0.213570281017268,0.762334839402644,"Dnajc9","ns"
0.164585282205908,0.421065493397554,0.871145270625257,"Dner","ns"
-0.0251900465169841,0.98730739510612,1,"Dnhd1","ns"
-0.25874073260227,0.296617982166461,0.815757260538589,"Dnlz","ns"
-0.329178758485569,0.259245712185686,0.79643921911937,"Dnm1","ns"
-0.230959771269204,0.397131537203291,0.858797027385042,"Dnm1l","ns"
0.232064754883214,0.0769696574325111,0.57556414509206,"Dnm2","ns"
0.359738102161526,0.112811572733552,0.64200082066906,"Dnmt1","ns"
-0.78802224107904,0.528322081092239,0.910528693859115,"Dnpep","ns"
-0.0835059413923485,0.936546477367159,0.991940903808069,"Dnttip2","ns"
-0.432457514691067,0.3733894279752,0.852595648955854,"Doc2b","ns"
0.220629919379691,0.420041327487916,0.871145270625257,"Dock10","ns"
-0.274708605211914,0.898988178850838,0.986361133324179,"Dock11","ns"
-0.374462908227502,0.0957617078826074,0.614489304068164,"Dock3","ns"
-0.102915465536466,0.706784591985923,0.963787427559965,"Dock5","ns"
-0.197296843410181,0.762984426385658,0.970597173815904,"Dok5","ns"
-0.032261220997198,0.912652448827188,0.988504016325235,"Dok7","ns"
