ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0007611,learning or memory,185,-0.2024869548617543,-0.8625964592392299,0.7992277992277992,0.9523935007120511,0.8249877095209458,2542,"tags=37%, list=32%, signal=26%",329165/246317/15466/64930/13166/14156/108012/12424/98660/22333/16176/21833/16412/218038/12038/11816/17536/110876/114142/109880/238871/76898/15566/21336/26889/208188/59287/54006/381979/20320/211612/13853/55978/66860/83433/18479/18189/12846/106763/65106/110893/211323/20203/67405/60597/241656/214230/12921/16002/13688/53901/19164/432572/53357/13491/20317/12288/242202/13653/75786/66673/15465/78405/27403/17260/64290/13051/18190/13490
GO:0042551,neuron maturation,31,-0.25054234709569745,-0.783000029072895,0.7997118155619597,0.9523935007120511,0.8249877095209458,1874,"tags=26%, list=23%, signal=20%",11735/14682/71751/18189/12577/74143/269116/56336
GO:0055119,relaxation of cardiac muscle,11,-0.314964313689643,-0.7636347603193993,0.7996742671009772,0.9523935007120511,0.8249877095209458,3437,"tags=64%, list=43%, signal=36%",18438/11931/11938/19735/238871/12325/242202
GO:0006884,cell volume homeostasis,13,0.2720376215169573,0.7264711597117811,0.7994652406417112,0.9523935007120511,0.8249877095209458,494,"tags=15%, list=6%, signal=14%",11829/11750
GO:0099601,regulation of neurotransmitter receptor activity,42,-0.2375560678985637,-0.7936023108828979,0.8,0.9524896265560167,0.8250709761956759,1902,"tags=29%, list=24%, signal=22%",12300/18693/15980/18189/56872/60597/244310/68943/17260/72555/18190/19418
GO:0050907,detection of chemical stimulus involved in sensory perception,16,-0.2759671826900407,-0.7470841342991669,0.8003120124804992,0.9526140651537391,0.8251787681048336,2400,"tags=62%, list=30%, signal=44%",387515/387616/353165/387347/83771/112408/333329/14685/239766/244646
GO:0044770,cell cycle phase transition,244,0.18034165412446612,0.8812917693031214,0.8010204081632653,0.9530522691600142,0.8255583516689481,568,"tags=10%, list=7%, signal=10%",12581/11461/75608/12313/106795/209200/13205/80285/13860/19188/12122/12696/57261/53892/11820/20104/93760/68077/319195/19247/107503/22591/22195/12978/19941
GO:0097623,potassium ion export across plasma membrane,11,-0.31458745844990843,-0.7627210702657591,0.8013029315960912,0.9530522691600142,0.8255583516689481,97,"tags=27%, list=1%, signal=27%",16529/16490/57814
GO:0046827,positive regulation of protein export from nucleus,11,-0.3142920290368434,-0.7620047981065597,0.8013029315960912,0.9530522691600142,0.8255583516689481,974,"tags=18%, list=12%, signal=16%",19042/50721
GO:0051897,positive regulation of protein kinase B signaling,60,0.21139188689042934,0.8221009614657522,0.8037383177570093,0.9537251529652183,0.8261412209019008,1007,"tags=18%, list=13%, signal=16%",13805/16173/16443/15163/14182/14775/17537/14538/18413/15519/26362
GO:0003205,cardiac chamber development,77,-0.22169054925113102,-0.8142752245626659,0.8036465638148668,0.9537251529652183,0.8261412209019008,2488,"tags=36%, list=31%, signal=25%",20666/12156/20662/207304/67795/19876/12387/112405/14465/77579/107823/269593/21687/67784/16576/14463/14183/21380/215798/211323/22003/74025/99377/21386/19662/20564/17260/140781
GO:0072698,protein localization to microtubule cytoskeleton,29,0.2389371267052799,0.7850786711754926,0.802547770700637,0.9537251529652183,0.8261412209019008,829,"tags=17%, list=10%, signal=16%",17318/51810/17754/13542/209586
GO:0030834,regulation of actin filament depolymerization,26,0.23636753107342748,0.7661380089561046,0.8035714285714286,0.9537251529652183,0.8261412209019008,1095,"tags=23%, list=14%, signal=20%",13860/12340/12631/14248/14026/20742
GO:0098743,cell aggregation,11,-0.31213720045147275,-0.7567803903282858,0.8029315960912052,0.9537251529652183,0.8261412209019008,2410,"tags=64%, list=30%, signal=45%",14177/21833/14175/11595/17528/22255/22421
GO:0051957,positive regulation of amino acid transport,19,-0.26987269395159497,-0.7544219088561467,0.8033794162826421,0.9537251529652183,0.8261412209019008,3294,"tags=58%, list=41%, signal=34%",20983/15560/14805/57394/12424/16412/94245/70008/268860/19164/54393
GO:0003352,regulation of cilium movement,13,-0.28981786155753586,-0.7400305962150144,0.802547770700637,0.9537251529652183,0.8261412209019008,1783,"tags=62%, list=22%, signal=48%",50525/21338/19733/74267/59030/21336/71870/207607
GO:1903214,regulation of protein targeting to mitochondrion,14,-0.2830363491360707,-0.7386009751593421,0.8028616852146264,0.9537251529652183,0.8261412209019008,2458,"tags=36%, list=31%, signal=25%",15482/67384/380918/12177/68943
