ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),104,0.200320417410896,0.8639917054604328,0.8007380073800738,0.9968257723625322,0.8066419078986282,589,"tags=11%, list=7%, signal=10%",11461/11465/59069/22352/12340/13007/13179/11932/16421/11933/21894
mmu04071,Sphingolipid signaling pathway - Mus musculus (house mouse),67,0.214391556321266,0.8619137958240877,0.7327044025157232,0.9968257723625322,0.8066419078986282,1573,"tags=33%, list=20%, signal=27%",18201/12122/12028/14678/19354/11848/26395/13033/14127/19877/19052/18033/19697/226849/71978/18754/14679/26416/67653/110157/23797/225849
mmu04140,Autophagy - animal - Mus musculus (house mouse),98,-0.2213552934460436,-0.8608078760545319,0.7613793103448275,0.9968257723625322,0.8066419078986282,672,"tags=13%, list=8%, signal=12%",13143/18607/218460/76559/51897/56208/16367/29869/68728/17966/76815/26417/13665
mmu04012,ErbB signaling pathway - Mus musculus (house mouse),46,-0.24940647364008106,-0.8585876087028612,0.7004405286343612,0.9968257723625322,0.8066419078986282,3313,"tags=41%, list=41%, signal=24%",17869/100042150/20850/11352/11836/18709/26419/20662/109880/12325/14083/11651/18479/12015/211323/241656/214230/12576/26417
mmu04918,Thyroid hormone synthesis - Mus musculus (house mouse),34,0.2459419174441463,0.8510805609108569,0.695906432748538,0.9968257723625322,0.8066419078986282,801,"tags=21%, list=10%, signal=19%",12304/14683/11932/11933/14775/11909/22130
mmu05221,Acute myeloid leukemia - Mus musculus (house mouse),42,-0.25207985994968896,-0.8475856217947978,0.7247023809523809,0.9968257723625322,0.8066419078986282,2355,"tags=31%, list=29%, signal=22%",20662/109880/12428/18627/11651/12015/19401/18715/12427/235320/110794/16842/26417
mmu04370,VEGF signaling pathway - Mus musculus (house mouse),36,0.24132450787307388,0.8467449989320162,0.6950146627565983,0.9968257723625322,0.8066419078986282,1566,"tags=33%, list=20%, signal=27%",15507/17164/19354/26395/19057/12540/12371/19225/26416/110157/23797/19056
mmu00561,Glycerolipid metabolism - Mus musculus (house mouse),24,-0.2818128211277859,-0.8443924952256712,0.7050691244239631,0.9968257723625322,0.8066419078986282,1683,"tags=29%, list=21%, signal=23%",225913/13139/72098/102247/217480/23945/381925
mmu01200,Carbon metabolism - Mus musculus (house mouse),62,-0.23129678423679484,-0.842357983491433,0.7234957020057307,0.9968257723625322,0.8066419078986282,1713,"tags=27%, list=21%, signal=22%",66945/225913/107272/71832/67834/15929/110460/76282/17448/17449/11430/170718/216019/78920/17436/110821/18563
mmu01250,Biosynthesis of nucleotide sugars - Mus musculus (house mouse),18,0.2867718478681087,0.8415957940830886,0.6741573033707865,0.9968257723625322,0.8066419078986282,947,"tags=22%, list=12%, signal=20%",15275/212032/94181/14751
mmu05143,African trypanosomiasis - Mus musculus (house mouse),11,-0.3473229457077253,-0.8383876039336889,0.6929133858267716,0.9968257723625322,0.8066419078986282,404,"tags=36%, list=5%, signal=35%",21926/11806/18798/14103
mmu03013,Nucleocytoplasmic transport - Mus musculus (house mouse),56,0.215496369137172,0.836224200345126,0.7828746177370031,0.9968257723625322,0.8066419078986282,1608,"tags=34%, list=20%, signal=27%",170930/20220/22218/74412/75751/386612/192170/72124/78428/16649/68092/73192/56488/19826/60365/53817/192160/108989/19386
mmu04010,MAPK signaling pathway - Mus musculus (house mouse),144,-0.203376431796282,-0.8341325961266468,0.8151595744680851,0.9968257723625322,0.8066419078986282,2458,"tags=35%, list=31%, signal=24%",15482/72349/16176/20662/78390/66922/17311/14175/23938/109880/65964/21809/26408/26404/30957/12300/21687/211429/240168/14673/16175/11600/14183/11651/71751/18479/12977/21926/271844/60597/19042/16337/16002/12295/54652/329502/12288/56613/12294/14174/70686/19419/78405/17260/16179/19099/26417/19418/14103/234878
mmu04913,Ovarian steroidogenesis - Mus musculus (house mouse),25,-0.2757621632887606,-0.8321915243324386,0.7239263803680982,0.9968257723625322,0.8066419078986282,1135,"tags=40%, list=14%, signal=34%",15490/211429/11515/20778/271844/171281/16337/329502/242546/14309
mmu00230,Purine metabolism - Mus musculus (house mouse),60,-0.22917287990841106,-0.8296697722229448,0.7575757575757576,0.9968257723625322,0.8066419078986282,3769,"tags=55%, list=47%, signal=29%",20135/72157/229665/54369/66355/14923/103850/66681/18587/16434/66401/229363/18577/12495/18575/69692/54195/73532/231903/238871/215446/11566/11515/271639/12497/18588/18102/60596/12496/382985/242202/76952/229949
mmu03273,Virion - Lassa virus and SFTS virus - Mus musculus (house mouse),11,0.3194817822518218,0.8287396309600654,0.670299727520436,0.9968257723625322,0.8066419078986282,1062,"tags=27%, list=13%, signal=24%",16784/54216/17886
mmu04915,Estrogen signaling pathway - Mus musculus (house mouse),57,0.21364528178011905,0.8276077135832046,0.8068535825545171,0.9968257723625322,0.8066419078986282,2078,"tags=46%, list=26%, signal=34%",12313/14683/14678/26395/15481/11909/13033/21802/15519/17979/13983/14679/110157/23797/11911/12315/15461/20418/15516/74769/26413/17978/216148/22027/242425/14681
mmu03320,PPAR signaling pathway - Mus musculus (house mouse),43,0.2240744838317211,0.8268601697738852,0.7650602409638554,0.9968257723625322,0.8066419078986282,150,"tags=7%, list=2%, signal=7%",11832/16592/22187
mmu00510,N-Glycan biosynthesis - Mus musculus (house mouse),25,-0.2735671616559812,-0.8255674765192436,0.7300613496932515,0.9968257723625322,0.8066419078986282,2255,"tags=40%, list=28%, signal=29%",207958/269181/230815/57370/80286/223774/53618/103963/268510/56737
mmu05340,Primary immunodeficiency - Mus musculus (house mouse),13,-0.3237544229128147,-0.8223959884122277,0.7269890795631825,0.9968257723625322,0.8066419078986282,1691,"tags=31%, list=21%, signal=24%",16136/53970/72049/12525
mmu04970,Salivary secretion - Mus musculus (house mouse),38,-0.24933251198006726,-0.8222951404897082,0.7597597597597597,0.9968257723625322,0.8066419078986282,388,"tags=11%, list=5%, signal=10%",18798/320707/74180/12945
mmu04962,Vasopressin-regulated water reabsorption - Mus musculus (house mouse),22,0.2672923455719701,0.8195931878233282,0.7294117647058823,0.9968257723625322,0.8066419078986282,1122,"tags=23%, list=14%, signal=20%",11829/14683/19326/53869/22318
mmu04540,Gap junction - Mus musculus (house mouse),40,-0.24366080826783493,-0.8126606320503764,0.7603550295857988,0.9968257723625322,0.8066419078986282,2766,"tags=35%, list=35%, signal=23%",14609/14677/22145/20662/54195/23938/22154/14682/11515/60596/15559/18798/22143/26417
mmu04720,Long-term potentiation - Mus musculus (house mouse),37,0.2301375351200558,0.8106989824850761,0.7807017543859649,0.9968257723625322,0.8066419078986282,667,"tags=14%, list=8%, signal=12%",12313/109905/26395/19045/19057
mmu04068,FoxO signaling pathway - Mus musculus (house mouse),55,0.20842967914639343,0.8058481661302505,0.8204334365325078,0.9968257723625322,0.8066419078986282,678,"tags=11%, list=8%, signal=10%",12581/56486/20848/26395/17873/15469
mmu04929,GnRH secretion - Mus musculus (house mouse),34,-0.251440860199175,-0.8057019195527755,0.7696969696969697,0.9968257723625322,0.8066419078986282,891,"tags=18%, list=11%, signal=16%",54652/12288/18798/54393/26417/15168
mmu04928,"Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)",55,0.2081541359588828,0.804782838134475,0.8204334365325078,0.9968257723625322,0.8066419078986282,1510,"tags=33%, list=19%, signal=27%",16478/14683/14678/11848/26395/14182/11909/18578/20182/75547/17938/22337/216869/12096/20393/14679/67653/110157
mmu04972,Pancreatic secretion - Mus musculus (house mouse),45,-0.23459217824464706,-0.8041455486659442,0.801178203240059,0.9968257723625322,0.8066419078986282,880,"tags=16%, list=11%, signal=14%",109660/232680/242711/54403/18798/320707/109697
mmu04148,Efferocytosis - Mus musculus (house mouse),76,-0.2157074198747966,-0.8040043032682684,0.8345323741007195,0.9968257723625322,0.8066419078986282,2075,"tags=29%, list=26%, signal=22%",12325/218035/12484/14083/269338/271457/19349/77573/12317/12215/228545/73122/53357/50769/320091/212555/19344/18019/70686/171283/13051/26417
mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),61,0.2050251856671226,0.7989883142818437,0.8566666666666667,0.9968257723625322,0.8066419078986282,1573,"tags=33%, list=20%, signal=27%",15978/11848/26395/19247/19057/12540/19052/16797/18033/13383/19697/226849/71978/26416/17974/67653/110157/23797/19056/225849
mmu04910,Insulin signaling pathway - Mus musculus (house mouse),75,0.1946148857280036,0.7974958885854756,0.8631921824104235,0.9968257723625322,0.8066419078986282,611,"tags=12%, list=8%, signal=11%",12703/12313/15275/14252/12702/20104/26395/212032/19045
mmu04512,ECM-receptor interaction - Mus musculus (house mouse),30,-0.2545607754353799,-0.7961324848366587,0.776416539050536,0.9968257723625322,0.8066419078986282,2494,"tags=60%, list=31%, signal=41%",16419/64051/213119/16416/81877/16402/12840/16773/16412/12833/16410/64176/16403/320910/22370/68553/16401/16776
