"UMAP_1","UMAP_2","cluster","myeloid_binary"
-0.684053210860995,0.352623353838514,"Transiently Activated Microglia","Myeloid"
2.23508426701376,-0.65627323544066,"Homeostatic Microglia","Myeloid"
0.273777695053312,-0.468217243314196,"Transiently Activated Microglia","Myeloid"
-0.216291217452792,-3.10734449780028,"Primed Microglia","Myeloid"
2.184421272629,-0.506407608151842,"Transiently Activated Microglia","Myeloid"
0.185395450943204,2.25155092322786,"Mitochondrial-Activated Microglia","Myeloid"
-0.683102874404696,1.51420343959291,"Homeostatic Microglia","Myeloid"
1.30077621495077,-0.475807060361315,"Primed Microglia","Myeloid"
-2.24687102282694,-2.74969850933592,"Mitochondrial-Activated Microglia","Myeloid"
-0.695325641280917,0.598217616915297,"Transiently Activated Microglia","Myeloid"
0.0490395740205969,-0.645030845761705,"Homeostatic Microglia","Myeloid"
1.40015337025473,-0.669624675870348,"Primed Microglia","Myeloid"
1.42916843449423,-1.06875502026122,"Primed Microglia","Myeloid"
4.62955638920614,-2.03029142773192,"CD8+ T Cells","Non-Myeloid"
2.02842590367148,3.58236915910203,"Infiltrating Macrophages","Myeloid"
-1.15733125651529,-3.76562010204833,"Transiently Activated Microglia","Myeloid"
-0.42567422831705,-3.26911102688353,"Homeostatic Microglia","Myeloid"
1.41097948109457,-0.0787123337988147,"Homeostatic Microglia","Myeloid"
3.12124988591025,-0.144779075742174,"Mitochondrial-Activated Microglia","Myeloid"
1.52634975468466,1.98845304095704,"Transiently Activated Microglia","Myeloid"
1.70240137135336,0.963268648027968,"Transiently Activated Microglia","Myeloid"
2.00613662754843,0.927255521654677,"Transiently Activated Microglia","Myeloid"
-0.616908340102938,-1.90162073528807,"Homeostatic Microglia","Myeloid"
-0.926693706161288,2.62985957705934,"IFN-Responsive Microglia","Myeloid"
-0.39705398524454,0.401456008791517,"Transiently Activated Microglia","Myeloid"
1.76595661198446,0.826386581301283,"Transiently Activated Microglia","Myeloid"
1.3240353778536,1.20536030375917,"Transiently Activated Microglia","Myeloid"
0.227681846969816,-0.23857008373778,"Homeostatic Microglia","Myeloid"
0.75091383015463,-0.582775940061022,"Mitochondrial-Activated Microglia","Myeloid"
0.702308864944669,1.39533723437745,"Homeostatic Microglia","Myeloid"
0.193290443771573,3.11267216050584,"IFN-Responsive Microglia","Myeloid"
4.00275680577109,-0.262386192441393,"CNS Endothelial Cells","Non-Myeloid"
-2.41999628985575,-0.846333374143053,"IFN-Responsive Microglia","Myeloid"
1.94678518330404,0.46383584582765,"Transiently Activated Microglia","Myeloid"
-0.834302692062167,-2.23302351391356,"Transiently Activated Microglia","Myeloid"
1.86854908024618,3.7893490447994,"Infiltrating Macrophages","Myeloid"
0.21977541004965,3.22404713475664,"IFN-Responsive Microglia","Myeloid"
-1.78835585559061,-0.187422145963121,"Homeostatic Microglia","Myeloid"
1.13930484806845,3.1641326650377,"IFN-Responsive Microglia","Myeloid"
0.090567322128507,3.00821436488588,"Transiently Activated Microglia","Myeloid"
-1.11832311595133,-3.73666941082518,"Homeostatic Microglia","Myeloid"
0.410095425003263,0.130808006167006,"Primed Microglia","Myeloid"
-0.0991857334440027,-1.7900527611975,"Mitochondrial-Activated Microglia","Myeloid"
-3.09767058337381,0.801184545397352,"Homeostatic Microglia","Myeloid"
0.153268547409269,-0.408772338986803,"Homeostatic Microglia","Myeloid"
1.51141950642416,-0.850908149838854,"Transiently Activated Microglia","Myeloid"
3.15939590489218,0.220466743349623,"Mitochondrial-Activated Microglia","Myeloid"
-1.70517304385355,-3.44909750378172,"Transiently Activated Microglia","Myeloid"
1.18808719670126,2.67910970294435,"Mitochondrial-Activated Microglia","Myeloid"
0.386845798843595,0.776684890627455,"Homeostatic Microglia","Myeloid"
-0.442972926742343,-3.89785515224974,"Homeostatic Microglia","Myeloid"
-0.400944022781161,0.877951990007948,"IFN-Responsive Microglia","Myeloid"
-0.742794780380038,-4.03680693066161,"Homeostatic Microglia","Myeloid"
-0.758739261276034,-3.24791752255004,"Homeostatic Microglia","Myeloid"
0.536270828598234,2.86339641654451,"IFN-Responsive Microglia","Myeloid"
-2.73968365634134,-2.77702938473265,"Homeostatic Microglia","Myeloid"
