"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","gene_set_db","cluster","direction","cluster_dir","Pathway","logp"
NA,NA,"GO:0045089","positive regulation of innate immune response","27/97","327/15173",6.53624565052322e-23,3.33511934317947e-20,2.57493677337718e-20,"434341/20128/14972/381308/16149/229900/100040462/229898/14469/80285/78781/15950/15951/14964/16362/623121/15944/236312/83490/226695/98999/19106/27007/209387/15040/71586/54123",27,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of innate immune response [GO_BP]",19.4768886207708
NA,NA,"GO:0034341","response to type II interferon","19/97","130/15173",5.44592938788517e-21,2.02448956082377e-18,1.56304230256231e-18,"434341/20846/547253/16149/229900/66141/229898/14469/80285/17472/14961/16362/20684/76074/16423/20293/15944/14960/74117",19,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","response to type II interferon [GO_BP]",17.6936844583069
NA,NA,"GO:0031349","positive regulation of defense response","28/97","430/15173",5.95146367709094e-21,2.02448956082377e-18,1.56304230256231e-18,"434341/20128/14972/381308/16149/229900/100040462/229898/14469/80285/78781/15950/15951/14964/16362/623121/16423/15944/236312/83490/226695/98999/19106/27007/209387/15040/71586/54123",28,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of defense response [GO_BP]",17.6936844583069
NA,NA,"GO:0051607","defense response to virus","23/97","279/15173",1.63079382547953e-19,4.16056274725466e-17,3.21223467992482e-17,"20846/56045/20128/19264/23962/20847/229900/66141/229898/80285/78781/17472/14190/16362/15944/98999/19106/209387/71586/80287/15945/54123/17329",23,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","defense response to virus [GO_BP]",16.3808479238208
NA,NA,"GO:0140546","defense response to symbiont","23/97","279/15173",1.63079382547953e-19,4.16056274725466e-17,3.21223467992482e-17,"20846/56045/20128/19264/23962/20847/229900/66141/229898/80285/78781/17472/14190/16362/15944/98999/19106/209387/71586/80287/15945/54123/17329",23,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","defense response to symbiont [GO_BP]",16.3808479238208
NA,NA,"GO:0035456","response to interferon-beta","14/97","64/15173",2.64982981305501e-18,6.0092251649392e-16,4.63952658496299e-16,"60440/20846/381308/229900/66141/100040462/14469/15950/15951/16362/623121/15944/236312/226695",14,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","response to interferon-beta [GO_BP]",15.2211815227202
NA,NA,"GO:0009615","response to virus","23/97","324/15173",4.68298745351065e-18,9.55797739261525e-16,7.37940233463732e-16,"20846/56045/20128/19264/23962/20847/229900/66141/229898/80285/78781/17472/14190/16362/15944/98999/19106/209387/71586/80287/15945/54123/17329",23,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","response to virus [GO_BP]",15.0196340010462
NA,NA,"GO:0002218","activation of innate immune response","21/97","253/15173",6.4750463980131e-18,1.20141542712225e-15,9.2757363232781e-16,"20128/381308/229900/100040462/229898/14469/78781/15950/15951/16362/623121/15944/236312/83490/226695/98999/19106/27007/209387/71586/54123",21,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","activation of innate immune response [GO_BP]",14.920306795669
NA,NA,"GO:0035458","cellular response to interferon-beta","13/97","53/15173",8.83873214439167e-18,1.50332102555862e-15,1.16066508948722e-15,"60440/20846/381308/229900/100040462/14469/15950/15951/16362/623121/15944/236312/226695",13,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","cellular response to interferon-beta [GO_BP]",14.8229482684208
NA,NA,"GO:0071346","cellular response to type II interferon","15/97","108/15173",2.1362219914826e-16,3.35386852662769e-14,2.58941240587001e-14,"434341/20846/547253/229900/229898/14469/80285/17472/14961/16362/76074/16423/20293/15944/74117",15,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","cellular response to type II interferon [GO_BP]",13.4744539659635
NA,NA,"GO:0002253","activation of immune response","24/97","454/15173",6.70732117355484e-16,9.77831608230388e-14,7.54951864421925e-14,"20128/19264/381308/229900/100040462/229898/14469/78781/15950/15951/16362/623121/16423/15944/236312/83490/226695/98999/19106/27007/209387/329260/71586/54123",24,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","activation of immune response [GO_BP]",13.0097359283545
NA,NA,"GO:0048525","negative regulation of viral process","13/97","88/15173",1.0525395933968e-14,1.43215554008191e-12,1.10572054127369e-12,"20846/20128/23962/16149/66141/17069/78781/20684/98999/19106/209387/71586/80287",13,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of viral process [GO_BP]",11.8440098126629
NA,NA,"GO:0140888","interferon-mediated signaling pathway","11/97","72/15173",8.92822052458575e-13,1.13890613066747e-10,8.79312245085847e-11,"434341/20846/56045/547253/20847/66141/80285/16362/15944/71586/54123",11,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","interferon-mediated signaling pathway [GO_BP]",9.94351206925989
NA,NA,"GO:0050792","regulation of viral process","14/97","155/15173",1.00366362800687e-12,1.20498674397766e-10,9.30330929489962e-11,"20846/20128/23962/16149/229900/66141/17069/78781/20684/98999/19106/209387/71586/80287",14,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of viral process [GO_BP]",9.91901773072315
NA,NA,"GO:0019884","antigen processing and presentation of exogenous antigen","9/97","39/15173",2.20879620698687e-12,2.50452947692234e-10,1.93366545137973e-10,"14972/16149/14964/14961/12010/21356/14960/15040/19188",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of exogenous antigen [GO_BP]",9.6012738525393
NA,NA,"GO:0019221","cytokine-mediated signaling pathway","18/97","350/15173",7.0930558825478e-12,7.61943529277898e-10,5.88271726103826e-10,"60440/434341/20846/56045/547253/19264/23962/20847/16149/66141/80285/16362/20293/15944/71586/15945/54123/17329",18,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","cytokine-mediated signaling pathway [GO_BP]",9.11807721479137
NA,NA,"GO:0019882","antigen processing and presentation","11/97","92/15173",1.43044900144772e-11,1.4597732059774e-09,1.12704323956171e-09,"14972/16149/14964/21354/14190/14961/12010/21356/14960/15040/19188",11,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation [GO_BP]",8.8357146120535
NA,NA,"GO:0048002","antigen processing and presentation of peptide antigen","9/97","50/15173",2.46521569259749e-11,2.24662477349654e-09,1.73454564889467e-09,"14972/16149/14964/21354/14961/12010/21356/14960/15040",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of peptide antigen [GO_BP]",8.64846945646724
NA,NA,"GO:1903900","regulation of viral life cycle","12/97","126/15173",2.47983784288858e-11,2.24662477349654e-09,1.73454564889467e-09,"20128/23962/16149/229900/66141/17069/78781/98999/19106/209387/71586/80287",12,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of viral life cycle [GO_BP]",8.64846945646724
NA,NA,"GO:0002478","antigen processing and presentation of exogenous peptide antigen","8/97","33/15173",2.53171826508675e-11,2.24662477349654e-09,1.73454564889467e-09,"14972/16149/14964/14961/12010/21356/14960/15040",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of exogenous peptide antigen [GO_BP]",8.64846945646724
NA,NA,"GO:0042742","defense response to bacterium","14/97","202/15173",3.70847178853371e-11,3.15374621683221e-09,2.43490450326095e-09,"60440/672511/14972/229900/229898/14469/17472/14964/12010/76074/15944/98999/27007/15040",14,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","defense response to bacterium [GO_BP]",8.50117325744461
NA,NA,"GO:0001906","cell killing","13/97","175/15173",8.20361300600355e-11,6.6974296581013e-09,5.17086680841571e-09,"19264/14972/229900/229898/14469/14964/21354/14190/12010/27007/15040/15945/17329",13,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","cell killing [GO_BP]",8.17409183901261
NA,NA,"GO:0002683","negative regulation of immune system process","18/97","452/15173",4.68713992939531e-10,3.67940484457532e-08,2.84074837016388e-08,"434341/56045/547253/20128/19264/14972/20847/16149/14964/21354/14190/16362/16423/15944/60533/83490/14960/15040",18,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of immune system process [GO_BP]",7.43422242415803
NA,NA,"GO:0002832","negative regulation of response to biotic stimulus","11/97","138/15173",1.20378731191604e-09,9.09974038378012e-08,7.02561249878483e-08,"434341/56045/547253/20128/14972/20847/14964/21354/14190/15944/15040",11,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of response to biotic stimulus [GO_BP]",7.04097099795364
NA,NA,"GO:0050870","positive regulation of T cell activation","13/97","225/15173",1.84120423930105e-09,1.34210637586194e-07,1.03619652114048e-07,"19264/14972/16149/14964/14961/12010/16362/16423/11461/15944/60533/14960/15040",13,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of T cell activation [GO_BP]",6.87221306045693
