"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"negative regulation of response to wounding [GO_BP]",0,0,0,0,1.33637177979977,0,0,6
"negative regulation of lipid localization [GO_BP]",0,0,0,0,1.55995572234632,0,0,6
"regulation of long-term synaptic potentiation [GO_BP]",0,0,0,0,1.50145817905078,0,0,6
"regulation of blood coagulation [GO_BP]",0,0,0,0,1.50145817905078,0,0,6
"regulation of plasma lipoprotein particle levels [GO_BP]",0,0,0,0,1.50145817905078,0,0,6
"response to wounding [GO_BP]",0,0,0,0,1.50626299363184,0,0,6
"negative regulation of wound healing [GO_BP]",0,0,0,0,1.50626299363184,0,0,6
"regulation of sterol transport [GO_BP]",0,0,0,0,1.50487907602712,0,0,6
"regulation of cholesterol transport [GO_BP]",0,0,0,0,1.50487907602712,0,0,6
"regulation of macrophage migration [GO_BP]",0,0,0,0,1.52813974433965,0,0,6
"cholesterol efflux [GO_BP]",0,0,0,0,1.51805965963167,0,0,6
"Semaphorin interactions [Reactome]",0,0,0,0,1.40998605589458,0,0,6
"macrophage migration [GO_BP]",0,0,0,0,1.41991526305503,0,0,6
"regulation of hemostasis [GO_BP]",0,0,0,0,1.4830900762676,0,0,6
"Systemic lupus erythematosus - Mus musculus (house mouse) [KEGG]",0,0,0,0,1.4677219907252,0,0,6
"regulation of coagulation [GO_BP]",0,0,0,0,1.45697927085006,0,0,6
"Coronavirus disease - Mus musculus (house mouse) [KEGG]",0,0,0,0,1.92574691231103,0,0,6
"negative regulation of platelet activation [GO_BP]",0,0,0,0,1.95681095883621,0,0,6
"synapse organization [GO_BP]",0,0,0,0,1.94771483110114,0,0,6
"cellular response to low-density lipoprotein particle stimulus [GO_BP]",0,0,0,0,1.72095286174281,0,0,6
"amyloid fibril formation [GO_BP]",0,0,0,0,1.72095286174281,0,0,6
"plasma lipoprotein particle clearance [GO_BP]",0,0,0,0,1.70500730237616,0,0,6
"positive regulation of osteoclast differentiation [GO_BP]",0,0,0,0,1.68960868490878,0,0,6
"negative regulation of hemostasis [GO_BP]",0,0,0,0,1.65727163225291,0,0,6
"amyloid-beta clearance [GO_BP]",0,0,0,0,1.65727163225291,0,0,6
"positive regulation of cholesterol transport [GO_BP]",0,0,0,0,1.65727163225291,0,0,6
"positive regulation of sterol transport [GO_BP]",0,0,0,0,1.65727163225291,0,0,6
"regulation of cholesterol efflux [GO_BP]",0,0,0,0,1.65727163225291,0,0,6
"negative regulation of blood coagulation [GO_BP]",0,0,0,0,1.65727163225291,0,0,6
"apoptotic cell clearance [GO_BP]",0,0,0,0,1.62831463471137,0,0,6
"negative regulation of endothelial cell proliferation [GO_BP]",0,0,0,0,1.64933055720292,0,0,6
"negative regulation of coagulation [GO_BP]",0,0,0,0,1.64140038442034,0,0,6
"receptor-mediated endocytosis [GO_BP]",0,0,0,0,0,0,2.13886317376504,6
"regulation of tissue remodeling [GO_BP]",0,0,0,0,0,0,2.04220258510721,6
"regulation of bone resorption [GO_BP]",0,0,0,0,0,0,1.96615072624667,6
"bone remodeling [GO_BP]",0,0,0,0,0,0,1.3466169718481,6
"visual system development [GO_BP]",0,0,0,0,0,0,1.44774230402261,6
"response to nutrient levels [GO_BP]",0,0,0,0,0,0,1.44774230402261,6
"sensory system development [GO_BP]",0,0,0,0,0,0,1.44774230402261,6
"neutrophil homeostasis [GO_BP]",0,0,0,0,0,0,1.48759407659098,6
"modulation by host of symbiont process [GO_BP]",0,0,0,0,0,0,1.46973425959099,6
"regulation of bone remodeling [GO_BP]",0,0,0,0,0,0,1.7823360863759,6
"bone resorption [GO_BP]",0,0,0,0,0,0,1.60039108460318,6
"Efferocytosis - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.65964743104275,6
"response to extracellular stimulus [GO_BP]",0,0,0,0,0,0,1.71774448381105,6
"synapse pruning [GO_BP]",0,0,0,0,3.32529014120544,0,1.98254487942999,6
"complement activation [GO_BP]",0,0,0,0,2.78096055717327,0,1.98254487942999,6
"humoral immune response mediated by circulating immunoglobulin [GO_BP]",0,0,0,0,2.87085560361878,0,1.46484803798383,6
"complement activation, classical pathway [GO_BP]",0,0,0,0,3.02818706006975,0,1.7343431515632,6
"cell junction disassembly [GO_BP]",0,0,0,0,2.95634736929405,0,1.69045625322986,6
"Complement and coagulation cascades - Mus musculus (house mouse) [KEGG]",0,0,0,0,1.39128242826201,0,2.22572744108399,6
"Pertussis - Mus musculus (house mouse) [KEGG]",0,0,0,0,1.39024507575189,0,2.22572744108399,6
"Initial triggering of complement [Reactome]",0,0,0,0,1.84637226802912,0,1.83604805118865,6
"positive regulation of lipid transport [GO_BP]",0,0,0,0,1.33017363939592,0,1.48759407659098,6
"Regulation of Complement cascade [Reactome]",0,0,0,0,1.68219342581148,0,1.41038267459893,6
"Complement cascade [Reactome]",0,0,0,0,1.68219342581148,0,1.33911058931864,6
"Staphylococcus aureus infection - Mus musculus (house mouse) [KEGG]",2.05046121615169,0,0,0,1.4677219907252,0,2.08873010995584,6
"gliogenesis [GO_BP]",1.32415678293709,0,0,0,0,0,1.3466169718481,6
"regulation of tyrosine phosphorylation of STAT protein [GO_BP]",1.55777278755869,1.49053329456257,0,0,0,0,0,5
"Fc receptor signaling pathway [GO_BP]",1.51898257117518,1.47280876441052,0,0,0,0,0,5
"Phagocytosis - Mus musculus (house mouse) [KEGG]",1.66115861935274,1.42253766793136,0,0,0,0,0,5
"negative regulation of cell development [GO_BP]",1.60269999367641,1.45082395316524,0,0,0,0,0,5
"C-type lectin receptor signaling pathway - Mus musculus (house mouse) [KEGG]",1.34545046387823,1.57893116928396,0,0,0,0,0,5
"regulation of release of sequestered calcium ion into cytosol [GO_BP]",1.34377332322479,1.35270417870181,0,0,0,0,0,5
"positive regulation of inflammasome-mediated signaling pathway [GO_BP]",1.36482107823585,1.37401895059109,0,0,0,0,0,5
"negative regulation of cellular senescence [GO_BP]",1.36482107823585,1.37401895059109,0,0,0,0,0,5
"negative regulation of cell-cell adhesion [GO_BP]",1.36482107823585,1.46722095918032,0,0,0,0,0,5
"tyrosine phosphorylation of STAT protein [GO_BP]",1.45119749628635,1.42898289775628,0,0,0,0,0,5
"regulation of type II interferon production [GO_BP]",2.13306580346232,1.56346831345807,0,0,0,0,0,5
"Nicotinate metabolism [Reactome]",2.05365004429265,1.51277953517799,0,0,0,0,0,5
"negative regulation of hemopoiesis [GO_BP]",2.07285623216815,1.52744948867106,0,0,0,0,0,5
"protein K63-linked ubiquitination [GO_BP]",2.04808385935218,1.41262783547054,0,0,0,0,0,5
"suppression of viral release by host [GO_BP]",2.15574742974305,1.34013735666989,0,0,0,0,0,5
"Viral carcinogenesis - Mus musculus (house mouse) [KEGG]",1.82833633465768,1.47375395546722,0,0,0,0,0,5
