names,scores,logfoldchanges,pvals,pvals_adj
Rasgrp3,2.7422833,0.92982787,0.006101369086230312,0.36243743294739067
Dgkd,2.7376812,0.90196717,0.006187404904709867,0.36513803567171443
Lgmn,2.7284765,0.5453737,0.006362761094289862,0.3694301191487846
Fbxl17,2.7133548,0.6892032,0.006660573280070881,0.38179509066240697
Osbpl11,2.6929736,0.8380623,0.007081789820947336,0.40465122218168603
Cp,2.6863987,0.91786027,0.007222681233580841,0.41009791647703964
Wdfy2,2.66799,0.7647781,0.007630656191964454,0.4278634915861938
Pld1,2.6620727,1.0998902,0.007766110810237062,0.43276231725528447
Nipbl,2.6601002,0.45554033,0.007811738814381343,0.43396137938286977
Ehd4,2.649581,0.76568264,0.008059168486785041,0.44224687071232915
Fosb,2.628542,1.6121806,0.00857517650252105,0.4593589341335606
Rnf130,2.6206524,0.7119522,0.008776168613368293,0.4687307384926288
Slc40a1,2.6167076,1.2052433,0.008878234617742528,0.4727791268779519
0610040J01Rik,2.608818,0.94034344,0.009085553041291489,0.480973144677075
Ap2a2,2.5982985,0.82936656,0.009368697240566297,0.49253100307664255
Abhd12,2.5969837,0.72930706,0.009404638170199547,0.49253100307664255
Frmd4b,2.5956688,0.64775324,0.009440702042415783,0.49253100307664255
Dclre1c,2.594354,0.73284596,0.009476889215193792,0.49298996816263896
Usp24,2.5877793,0.85873187,0.00965968717259234,0.4981796831503998
Rbm39,2.5851493,0.30045786,0.00973368207813237,0.4991354522059958
Ago3,2.5752873,0.76000005,0.010015682535174325,0.5092437004254313
Exoc6b,2.563453,0.62241846,0.010363671855335247,0.5239767688881436
Herc1,2.5614808,0.6397043,0.010422704703146353,0.5254853275964461
Immp2l,2.5457015,0.79642993,0.01090583984591995,0.5407554032691823
Etv1,2.5430717,0.9718506,0.010988269348541758,0.5433457692428656
Tnfrsf11a,2.5417566,0.7453233,0.011029691327569697,0.5438997649450054
Rbpj,2.537812,0.59464866,0.011154790873889238,0.5480996079348937
Tmem176b,2.5299225,1.2321776,0.01140877667019122,0.5520069120612144
Ms4a7,2.5207179,0.88719267,0.011711571205591407,0.5651382577196775
Akap10,2.5174305,0.8255081,0.01182142736839237,0.5689140941275248
Ophn1,2.4937618,0.73739874,0.012639732269344476,0.5971195304880085
Sesn1,2.4904745,0.8429655,0.012757264520441963,0.6010942515796724
Osbpl9,2.4832425,0.681279,0.013019245808662096,0.6113705623863303
Klhl24,2.4746954,1.3227533,0.013334986302078355,0.621804192878519
Tcf4,2.4608886,0.52340615,0.013859338297465426,0.6396262308104621
Tln2,2.4589162,1.1586365,0.013935713047494426,0.6410423622900655
Mtss1,2.4582589,0.8012276,0.013961253737302387,0.6410423622900655
Prkg1,2.4556289,1.2257223,0.014063830181060609,0.6441091079616028
