names,scores,logfoldchanges,pvals,pvals_adj,cluster,comparison
March1,5.291272,1.4990964,1.2146845782608487e-07,5.4657769310292535e-05,Infiltrating Macrophages,HSV1_vs_Mock
Parp9,5.2123766,2.438752,1.8643674664774536e-07,7.989702387887545e-05,Infiltrating Macrophages,HSV1_vs_Mock
Nampt,5.1952825,2.1130483,2.044093419328706e-07,8.556194756859855e-05,Infiltrating Macrophages,HSV1_vs_Mock
Zc3hav1,5.1900225,2.023032,2.1026849882144034e-07,8.601415250652512e-05,Infiltrating Macrophages,HSV1_vs_Mock
Gbp4,5.1545196,4.996275,2.5428198655002606e-07,0.0001017071439091982,Infiltrating Macrophages,HSV1_vs_Mock
Itpr1,5.107182,2.9005673,3.269984845955505e-07,0.00012520245462598764,Infiltrating Macrophages,HSV1_vs_Mock
Ranbp2,5.0111923,1.6407543,5.409380188979836e-07,0.0001907362044598891,Infiltrating Macrophages,HSV1_vs_Mock
Ifi203,5.007905,1.5410928,5.502566324730215e-07,0.0001907362044598891,Infiltrating Macrophages,HSV1_vs_Mock
Ifi204,5.0046177,1.6436597,5.597299241526766e-07,0.0001907362044598891,Infiltrating Macrophages,HSV1_vs_Mock
Arid5b,4.9973855,1.956394,5.811278278132665e-07,0.0001936985143113145,Infiltrating Macrophages,HSV1_vs_Mock
H2-D1,4.980949,1.2408451,6.327320616388477e-07,0.00020706444322613857,Infiltrating Macrophages,HSV1_vs_Mock
Capza2,4.9697723,1.5773929,6.70316301897157e-07,0.00021544684139012372,Infiltrating Macrophages,HSV1_vs_Mock
Tap1,4.941501,3.643892,7.752335019792305e-07,0.0002447969789846346,Infiltrating Macrophages,HSV1_vs_Mock
Fgl2,4.920462,3.6562366,8.634002296242859e-07,0.00026250868489029433,Infiltrating Macrophages,HSV1_vs_Mock
H2-Ab1,4.9178324,1.9617532,8.750775650545952e-07,0.00026250868489029433,Infiltrating Macrophages,HSV1_vs_Mock
B2m,4.8895617,0.8864682,1.0106084720220895e-06,0.0002842178419988373,Infiltrating Macrophages,HSV1_vs_Mock
Irf1,4.8468266,2.44912,1.254521603954787e-06,0.00034439712913421263,Infiltrating Macrophages,HSV1_vs_Mock
Ms4a4c,4.813296,4.002375,1.4846140420802835e-06,0.000398829375274672,Infiltrating Macrophages,HSV1_vs_Mock
Sp100,4.7929144,1.8031195,1.643758902914557e-06,0.0004287828477327407,Infiltrating Macrophages,HSV1_vs_Mock
Gm20559,4.6502447,3.6040163,3.3154171713627823e-06,0.0007956559155647829,Infiltrating Macrophages,HSV1_vs_Mock
Gbp8,4.6259184,4.743375,3.7294222409780973e-06,0.0008717645573423997,Infiltrating Macrophages,HSV1_vs_Mock
Ifi213,4.595675,2.377289,4.3135061775810165e-06,0.000982978725949791,Infiltrating Macrophages,HSV1_vs_Mock
Cd47,4.5910726,1.6892108,4.409736110446022e-06,0.000982978725949791,Infiltrating Macrophages,HSV1_vs_Mock
Ccl12,4.573979,2.1604896,4.785485878085161e-06,0.0010504141502396928,Infiltrating Macrophages,HSV1_vs_Mock
Slfn5,4.540448,2.7517786,5.613482520516282e-06,0.0012173141191177417,Infiltrating Macrophages,HSV1_vs_Mock
Actb,4.5338736,0.93933326,5.7911762038714935e-06,0.0012408973868271787,Infiltrating Macrophages,HSV1_vs_Mock
Ascc3,4.516122,1.5112708,6.298244294724973e-06,0.0013336717536559387,Infiltrating Macrophages,HSV1_vs_Mock
Zc3h7a,4.509547,1.4619826,6.4966148318949054e-06,0.0013596810506892605,Infiltrating Macrophages,HSV1_vs_Mock
Pim1,4.490481,2.6270099,7.106261129543663e-06,0.001470179242191453,Infiltrating Macrophages,HSV1_vs_Mock
Irgm1,4.4641824,3.2877696,8.037517109383938e-06,0.001625474948896646,Infiltrating Macrophages,HSV1_vs_Mock
Cdk14,4.416845,1.3026893,1.0015212547400681e-05,0.001980920996051262,Infiltrating Macrophages,HSV1_vs_Mock
Tapbp,4.370165,2.0363004,1.2415282747838767e-05,0.0023772624912590423,Infiltrating Macrophages,HSV1_vs_Mock
Ifi209,4.3629327,2.8304873,1.2833046111121647e-05,0.002431389441621879,Infiltrating Macrophages,HSV1_vs_Mock
Slco3a1,4.340579,4.9806013,1.4210785307001657e-05,0.0026527323605894117,Infiltrating Macrophages,HSV1_vs_Mock
Xdh,4.2800922,2.383905,1.868159419012657e-05,0.0033625001382808816,Infiltrating Macrophages,HSV1_vs_Mock
Cd274,4.2406445,3.6326728,2.2287909475348204e-05,0.003971882006403884,Infiltrating Macrophages,HSV1_vs_Mock
Pik3ap1,4.193307,1.0428935,2.7491713424916397e-05,0.00466814481070821,Infiltrating Macrophages,HSV1_vs_Mock
Cd52,4.190677,2.8211691,2.781233296395284e-05,0.0046784502898896,Infiltrating Macrophages,HSV1_vs_Mock
Ifi205,4.1183558,29.820913,3.8158497281131715e-05,0.0062437708414826345,Infiltrating Macrophages,HSV1_vs_Mock
Znfx1,4.0907426,2.3455632,4.2999442327561256e-05,0.006972495157241217,Infiltrating Macrophages,HSV1_vs_Mock
Lpp,4.0736485,1.3037113,4.628234020331159e-05,0.007437820011780404,Infiltrating Macrophages,HSV1_vs_Mock
Lars2,4.061814,1.1498765,4.869286118714765e-05,0.007687919372872549,Infiltrating Macrophages,HSV1_vs_Mock
Gsap,4.04209,1.4127396,5.2976867087635256e-05,0.008220091644054715,Infiltrating Macrophages,HSV1_vs_Mock
Hk3,4.036173,2.4870636,5.433017816496023e-05,0.008358024587958283,Infiltrating Macrophages,HSV1_vs_Mock
Eif2ak2,3.9888356,1.9698395,6.639844484251711e-05,0.010014556118152551,Infiltrating Macrophages,HSV1_vs_Mock
Gvin1,3.9730563,2.57384,7.095625202470809e-05,0.010383264879615616,Infiltrating Macrophages,HSV1_vs_Mock
Klrk1,3.9658244,29.285612,7.314274368218258e-05,0.01061690518980326,Infiltrating Macrophages,HSV1_vs_Mock
Trim30d,3.9553049,1.8341875,7.643712938751946e-05,0.011006335134767701,Infiltrating Macrophages,HSV1_vs_Mock
H2-Aa,3.9487302,1.591689,7.85668467195311e-05,0.011223211699244765,Infiltrating Macrophages,HSV1_vs_Mock
Acer3,3.9362383,1.1980536,8.27687661664691e-05,0.011730354505750216,Infiltrating Macrophages,HSV1_vs_Mock
H2-T23,3.9204593,1.6911248,8.838039177113566e-05,0.012331462569679619,Infiltrating Macrophages,HSV1_vs_Mock
Dennd1b,3.887586,1.1533147,0.00010124611759110165,0.013880478401469854,Infiltrating Macrophages,HSV1_vs_Mock
Pfkp,3.886271,3.9357285,0.00010179583026801604,0.013880478401469854,Infiltrating Macrophages,HSV1_vs_Mock
Ifih1,3.8645747,1.9255358,0.00011128290305018333,0.015060007308272555,Infiltrating Macrophages,HSV1_vs_Mock
Atp8a1,3.8487957,0.91613466,0.00011869999044010464,0.015943889014413758,Infiltrating Macrophages,HSV1_vs_Mock
Apobec3,3.8303866,1.4044665,0.00012794207609966975,0.016808973924948584,Infiltrating Macrophages,HSV1_vs_Mock
Slamf7,3.8264418,4.103982,0.0001300088514470343,0.01692485333894555,Infiltrating Macrophages,HSV1_vs_Mock
Naaa,3.7915962,3.151018,0.00014968212866789098,0.01924377595638121,Infiltrating Macrophages,HSV1_vs_Mock
Cmss1,3.7837067,0.772101,0.00015450991739853582,0.019723574491179053,Infiltrating Macrophages,HSV1_vs_Mock
Arhgap15,3.768585,0.7449685,0.00016417559215884306,0.02080983438920434,Infiltrating Macrophages,HSV1_vs_Mock
Akt3,3.750176,1.6509646,0.00017671050964623158,0.02208758654946196,Infiltrating Macrophages,HSV1_vs_Mock
B4galt5,3.730452,3.1956513,0.0001911365143565497,0.023563466588380398,Infiltrating Macrophages,HSV1_vs_Mock
Skap2,3.6725953,0.8156388,0.0002400996567077109,0.028693306595065946,Infiltrating Macrophages,HSV1_vs_Mock
Cxcl10,3.665363,5.0148478,0.0002469879093022999,0.0292054439363431,Infiltrating Macrophages,HSV1_vs_Mock
Lrch3,3.6640482,1.1949009,0.0002482600656847877,0.0292054439363431,Infiltrating Macrophages,HSV1_vs_Mock
Samd9l,3.6462967,1.9704622,0.00026604684624147347,0.030894046358066328,Infiltrating Macrophages,HSV1_vs_Mock
Htt,3.62986,1.4746195,0.0002835749512085776,0.032718368889764024,Infiltrating Macrophages,HSV1_vs_Mock
Irf7,3.6121085,4.1572285,0.00030371743854168794,0.03438119607743296,Infiltrating Macrophages,HSV1_vs_Mock
Cxcl9,3.5936995,4.98573,0.0003260158198847061,0.03644694870872562,Infiltrating Macrophages,HSV1_vs_Mock
Lnpep,3.58581,1.040955,0.00033603365532536603,0.037105949461357444,Infiltrating Macrophages,HSV1_vs_Mock
Actr3,3.5772629,1.060922,0.00034721093201086977,0.03810639978819296,Infiltrating Macrophages,HSV1_vs_Mock
Tmem131,3.5752904,1.145849,0.00034983922798212977,0.03816215917848699,Infiltrating Macrophages,HSV1_vs_Mock
Arfgef1,3.5693734,1.1589878,0.00035783620114993915,0.03879936014757684,Infiltrating Macrophages,HSV1_vs_Mock
Psme2,3.5516217,2.5791383,0.0003828647663502553,0.04126456844034877,Infiltrating Macrophages,HSV1_vs_Mock
Clic4,3.5187485,1.576493,0.00043358741391521675,0.0455982982663088,Infiltrating Macrophages,HSV1_vs_Mock
Rnase4,-3.5016544,-1.3851889,0.0004623787919023206,0.0478296314681027,Infiltrating Macrophages,HSV1_vs_Mock
Nfia,-3.5069141,-1.1942,0.00045333526613349645,0.04716521072333412,Infiltrating Macrophages,HSV1_vs_Mock
Serinc3,-3.5174336,-0.6251807,0.00043574128017140475,0.0455982982663088,Infiltrating Macrophages,HSV1_vs_Mock
Sh3kbp1,-3.5233507,-0.903382,0.0004261269042533277,0.04511681264503321,Infiltrating Macrophages,HSV1_vs_Mock
Tbc1d5,-3.5404449,-0.5079824,0.0003994530456536563,0.04254293117585893,Infiltrating Macrophages,HSV1_vs_Mock
Kansl1,-3.5424173,-0.74965495,0.0003964777420337901,0.042477398088489215,Infiltrating Macrophages,HSV1_vs_Mock
Ccnd3,-3.5904121,-0.88484776,0.00033015546358647465,0.03668190240180838,Infiltrating Macrophages,HSV1_vs_Mock
Hdac9,-3.6055338,-0.9666367,0.00031151187831487053,0.035043139361183466,Infiltrating Macrophages,HSV1_vs_Mock
Otulinl,-3.6180258,-1.0863622,0.00029685895618213433,0.033817495900773646,Infiltrating Macrophages,HSV1_vs_Mock
Rhob,-3.6193407,-0.9547072,0.00029535467789205727,0.033817495900773646,Infiltrating Macrophages,HSV1_vs_Mock
Wdfy3,-3.6574736,-0.6986937,0.0002547135581287252,0.029770060602330683,Infiltrating Macrophages,HSV1_vs_Mock
Kctd12,-3.6719377,-1.156163,0.0002407183341216155,0.028693306595065946,Infiltrating Macrophages,HSV1_vs_Mock
Zfp644,-3.6804848,-1.3507383,0.00023279095992917976,0.02812083548835776,Infiltrating Macrophages,HSV1_vs_Mock
Colec12,-3.6844296,-1.5745949,0.00022921540199082757,0.02787600013806017,Infiltrating Macrophages,HSV1_vs_Mock
Ivns1abp,-3.7153304,-1.0291605,0.00020293836366075,0.02484821501720979,Infiltrating Macrophages,HSV1_vs_Mock
Fgd4,-3.7357118,-1.1327442,0.00018718497513561447,0.023235464603213275,Infiltrating Macrophages,HSV1_vs_Mock
Btg2,-3.752806,-1.2038387,0.00017486629206916378,0.0220099188178523,Infiltrating Macrophages,HSV1_vs_Mock
Mir99ahg,-3.825127,-1.1487895,0.0001307047399362982,0.01692485333894555,Infiltrating Macrophages,HSV1_vs_Mock
Fli1,-3.8363037,-0.83924687,0.00012489989165949102,0.016529949632199843,Infiltrating Macrophages,HSV1_vs_Mock
Pf4,-3.842221,-1.5227703,0.00012192598697875386,0.016255895108374746,Infiltrating Macrophages,HSV1_vs_Mock
Slc12a6,-3.888901,-0.8965925,0.00010069920781846034,0.013880478401469854,Infiltrating Macrophages,HSV1_vs_Mock
Atp6v0b,-3.924404,-0.9657312,8.694471991476085e-05,0.01222592198238891,Infiltrating Macrophages,HSV1_vs_Mock
Cd14,-3.9743712,-1.80132,7.056541065796798e-05,0.010383264879615616,Infiltrating Macrophages,HSV1_vs_Mock
Maf,-3.9750288,-1.1963004,7.03707545528678e-05,0.010383264879615616,Infiltrating Macrophages,HSV1_vs_Mock
Ulk2,-3.9875205,-1.1005825,6.676741675528118e-05,0.010014556118152551,Infiltrating Macrophages,HSV1_vs_Mock
Jun,-4.00067,-1.222713,6.316342980301927e-05,0.0096345641781741,Infiltrating Macrophages,HSV1_vs_Mock
P2rx7,-4.04472,-1.3015807,5.238570457848328e-05,0.008199046058331484,Infiltrating Macrophages,HSV1_vs_Mock
Ints6l,-4.070361,-1.2273297,4.694032904832857e-05,0.007476805155228902,Infiltrating Macrophages,HSV1_vs_Mock
Zdhhc14,-4.1183558,-1.2921271,3.8158497281131715e-05,0.0062437708414826345,Infiltrating Macrophages,HSV1_vs_Mock
Agmo,-4.1380796,-1.337265,3.502244482654239e-05,0.005836749855860523,Infiltrating Macrophages,HSV1_vs_Mock
C1qb,-4.199224,-0.69540095,2.6783120525906767e-05,0.004591137012817104,Infiltrating Macrophages,HSV1_vs_Mock
Prkn,-4.2071137,-1.3126086,2.5865310873169194e-05,0.004476439715443965,Infiltrating Macrophages,HSV1_vs_Mock
Hexb,-4.216318,-0.9620234,2.4832338830463367e-05,0.004339390937956409,Infiltrating Macrophages,HSV1_vs_Mock
Atxn1,-4.222235,-1.4520473,2.4189139041936034e-05,0.004268434447213791,Infiltrating Macrophages,HSV1_vs_Mock
Abca1,-4.303761,-1.3497988,1.67922912424046e-05,0.0030529742431519235,Infiltrating Macrophages,HSV1_vs_Mock
Jund,-4.303761,-1.4498122,1.67922912424046e-05,0.0030529742431519235,Infiltrating Macrophages,HSV1_vs_Mock
St3gal6,-4.339264,-1.3693757,1.4296074169519027e-05,0.0026527323605894117,Infiltrating Macrophages,HSV1_vs_Mock
Lyz2,-4.3852863,-1.2293142,1.1583325645603056e-05,0.0022418094440345097,Infiltrating Macrophages,HSV1_vs_Mock
Mertk,-4.3997507,-1.1517222,1.0837533708464907e-05,0.0021202692306376072,Infiltrating Macrophages,HSV1_vs_Mock
Trf,-4.4549775,-1.331461,8.39019385298281e-06,0.0016779455462204178,Infiltrating Macrophages,HSV1_vs_Mock
Rnf150,-4.4674697,-1.321093,7.915030624919794e-06,0.0016188935933855837,Infiltrating Macrophages,HSV1_vs_Mock
Siglech,-4.5904155,-1.5027652,4.423650025108787e-06,0.000982978725949791,Infiltrating Macrophages,HSV1_vs_Mock
Qk,-4.5910726,-0.79650235,4.409736110446022e-06,0.000982978725949791,Infiltrating Macrophages,HSV1_vs_Mock
Hpgd,-4.630521,-1.6216131,3.647475072799549e-06,0.0008638276820436723,Infiltrating Macrophages,HSV1_vs_Mock
Zfp36l1,-4.730455,-1.3845954,2.2401701148635666e-06,0.0005448759715868829,Infiltrating Macrophages,HSV1_vs_Mock
F13a1,-4.757411,-1.7752627,1.9609148281473394e-06,0.0004834863834496433,Infiltrating Macrophages,HSV1_vs_Mock
C1qc,-4.7659583,-1.0118493,1.879582058793495e-06,0.0004698694093920016,Infiltrating Macrophages,HSV1_vs_Mock
Cfh,-4.7751627,-1.0923723,1.7956200165800253e-06,0.0004552023194144208,Infiltrating Macrophages,HSV1_vs_Mock
Hpgds,-4.777135,-1.2270436,1.778103033527813e-06,0.0004552023194144208,Infiltrating Macrophages,HSV1_vs_Mock
