"Pathway","Infiltrating_Macrophages_UP","Homeostatic_Microglia_UP","Transiently_Activated_Microglia_UP","Infiltrating_Macrophages_DOWN","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","IFN_Responsive_Microglia_UP"
"T cell mediated cytotoxicity [GO_BP]",3.78706013479843,2.58009919089561,2.53419750883915,0,0,0,4.31330786460542
"T cell mediated immunity [GO_BP]",3.00809488925786,1.94714205792766,1.94864184302613,0,0,0,3.69837461954282
"T cell proliferation [GO_BP]",3.02228670595032,0,0,0,0,0,3.454596123109
"TRAIL production [GO_BP]",3.44159582472305,2.46860722808103,2.45156237491741,0,0,0,2.14126933174168
"Th1 and Th2 cell differentiation - Mus musculus (house mouse) [KEGG]",0,1.3575086553472,0,0,0,0,0
"Th17 cell differentiation - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,1.46690222458137
"Toll-like receptor signaling pathway - Mus musculus (house mouse) [KEGG]",2.63548696361572,0,0,0,0,0,0
"Toxoplasmosis - Mus musculus (house mouse) [KEGG]",1.57893116928396,0,0,0,0,0,3.42686757693067
"Transcriptional misregulation in cancer - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,3.18410826665824
"Tuberculosis - Mus musculus (house mouse) [KEGG]",0,0,0,0,0,0,3.58773161627525
"Type I diabetes mellitus - Mus musculus (house mouse) [KEGG]",3.33449240191751,1.83801242432955,1.41126329091661,0,0,0,1.61243493745908
"Viral carcinogenesis - Mus musculus (house mouse) [KEGG]",1.47375395546722,0,0,0,0,0,1.82833633465768
"Viral life cycle - HIV-1 - Mus musculus (house mouse) [KEGG]",1.69830318314892,0,0,0,0,0,2.75466374714026
"Viral myocarditis - Mus musculus (house mouse) [KEGG]",3.33449240191751,1.51374501615146,0,0,0,0,1.3470996968226
"activation of cysteine-type endopeptidase activity involved in apoptotic process [GO_BP]",0,0,1.45041504634419,0,0,0,0
"activation of immune response [GO_BP]",8,0,0,0,1.94771483110114,0,8
"activation of innate immune response [GO_BP]",8,0,0,0,1.33017363939592,0,8
"acute inflammatory response [GO_BP]",0,2.22868976818152,1.35266302232283,0,0,0,3.49425399416601
"acute inflammatory response to antigenic stimulus [GO_BP]",2.1621801254746,1.93241818598991,1.93200328795796,0,0,0,3.51411235087226
"adaptive immune response [GO_BP]",6.81292508345564,1.56904449313524,1.53892063054081,0,0,0,5.65927887169774
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains [GO_BP]",5.18222911823832,1.8619602459259,1.86139195639167,0,0,0,6.09249592327547
"adhesion of symbiont to host [GO_BP]",1.76895189210162,0,0,0,0,0,4.37534878959761
"adrenal gland development [GO_BP]",1.51340886755958,0,0,0,0,0,0
"alpha-beta T cell activation [GO_BP]",3.51621132022392,1.59667489488905,0,0,0,0,3.72732477804234
"alpha-beta T cell proliferation [GO_BP]",5.53276634098805,1.57779695393706,1.55275951182426,0,0,0,4.42521957564965
"amide transport [GO_BP]",0,0,0,0,0,0,2.70476036655624
"amyloid fibril formation [GO_BP]",0,0,0,0,1.72095286174281,0,0
"amyloid-beta clearance [GO_BP]",0,0,0,0,1.65727163225291,0,0
"angiogenesis [GO_BP]",0,1.31638354383175,0,0,0,0,1.35686616874263
"antibacterial humoral response [GO_BP]",3.29960105983352,2.94316476904548,2.89508143155607,0,0,0,1.70029075771094
"antibody-dependent cellular cytotoxicity [GO_BP]",3.32325046825355,2.41128067242106,2.40565952515347,0,0,0,3.23615462241698
