"ProteinROI","ROI_number","Slide_number","Slide Name","Scan Name","Segment","Area","Tags","Nuclei","ROI Coordinate X","ROI Coordinate Y","Scan Date","Scan Width","Scan Height","Scan Offset X","Scan Offset Y","(v1.0) Mouse NGS Whole Transcriptome Atlas RNA","condition","region","ROI (Label)","segment","ROI_name","Slide_name","side_of_slide","infected_region","antigen","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","LOQ","GenesDetected","GeneDetectionRate","DetectionThreshold","q_norm_qFactors","neg_norm_negFactors","UMAP1","UMAP2","corrected_infection","infection_region","region_annotation"
"Slide 11_protein_NoMorph_12202023_018","018","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,252,77586.15625,23761.23046875,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","018","mock negative","Mock_018","11_WTA_Mock","top","Uninfected","HSV1 negative","1.84332212785277","1.91081715689697","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_019","019","11","11_WTA","11_WTA_final","Full ROI",96091.36,NA,267,88210.8984375,19899.3515625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","019","mock negative","Mock_019","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.47611191921698","1.70985437656919","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_022","022","11","11_WTA","11_WTA_final","Full ROI",37872.82,NA,272,87659.171875,20395.1953125,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","022","mock negative","Mock_022","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.1883451727362","1.5118163497156","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_023","023","11","11_WTA","11_WTA_final","Full ROI",49048.06,NA,239,88198.625,20663.767578125,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","023","mock negative","Mock_023","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.23020751798212","1.53976958910109","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_001","001","5","5_WTA","5_WTA_final","Full ROI",49048.06,NA,259,8620.2666015625,21539.56640625,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","001","positive","HSV_001","5_WTA_HSV","top","Infected","HSV1 positive","1.21453525295359","1.46618717066387","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_002","002","5","5_WTA","5_WTA_final","Full ROI",49048.06,NA,262,9178.7646484375,22027.90234375,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","002","positive","HSV_002","5_WTA_HSV","top","Infected","HSV1 positive","1.1786788313731","1.42630896055526","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_003","003","5","5_WTA","5_WTA_final","Full ROI",59274.89,NA,251,9392.4921875,21257.728515625,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","nuclei","003","positive","HSV_003","5_WTA_HSV","top","Infected","HSV1 positive","1.23438852936863","1.50685995447782","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_004","004","5","5_WTA","5_WTA_final","Full ROI",59274.89,NA,260,8454.14453125,20667.271484375,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","004","positive","HSV_004","5_WTA_HSV","top","Infected","HSV1 positive","1.31756309796843","1.58336359500875","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_005","005","5","5_WTA","5_WTA_final","Full ROI",70442.16,NA,286,9212.8544921875,20489.013671875,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","nuclei","005","peripheral negative","HSV_005","5_WTA_HSV","top","Infected","HSV1 negative","1.27136873383256","1.54588651129083","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_006","006","5","5_WTA","5_WTA_final","Full ROI",70442.16,NA,290,8832.5595703125,19815.810546875,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","nuclei","006","peripheral negative","HSV_006","5_WTA_HSV","top","Infected","HSV1 negative","1.45520868112073","1.69546345349387","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_007","007","5","5_WTA","5_WTA_final","Full ROI",77751.37,NA,232,19067.884765625,18447.23828125,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","007","negative","HSV_007","5_WTA_HSV","bottom","Uninfected","HSV1 negative","1.44224150281096","1.67030598476433","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_008","008","5","5_WTA","5_WTA_final","Full ROI",77751.37,NA,246,19560.96875,19087.126953125,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","008","negative","HSV_008","5_WTA_HSV","bottom","Uninfected","HSV1 negative","1.44080417163687","1.69544101025906","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_009","009","5","5_WTA","5_WTA_final","Full ROI",77751.37,NA,271,19881.935546875,19839.529296875,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","009","negative","HSV_009","5_WTA_HSV","bottom","Uninfected","HSV1 negative","1.49294156679376","1.64688257470546","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_010","010","5","5_WTA","5_WTA_final","Full ROI",70442.16,NA,297,18345.251953125,18889.390625,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","nuclei","010","negative","HSV_010","5_WTA_HSV","bottom","Uninfected","HSV1 negative","1.33658458057652","1.63621253498806","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_011","011","5","5_WTA","5_WTA_final","Full ROI",59274.89,NA,259,18887.212890625,19471.837890625,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","nuclei","011","negative","HSV_011","5_WTA_HSV","bottom","Uninfected","HSV1 negative","1.45642606456297","1.71089126141009","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_012","012","5","5_WTA","5_WTA_final","Full ROI",59274.89,NA,237,19157.15625,20177.396484375,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","nuclei","012","negative","HSV_012","5_WTA_HSV","bottom","Uninfected","HSV1 negative","26.8085166933183","1.23841277013015","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
