"sample_label","cluster_simple","GROUP_","value","position","name","sample","value_plot"
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3165.00668946615,-624.799196787149,"Homeostatic Microglia","Homeostatic Microglia",0.316500668946615
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3193.58263741487,-614.95983935743,"Homeostatic Microglia","Homeostatic Microglia",0.319358263741487
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3224.46288290078,-605.120481927711,"Homeostatic Microglia","Homeostatic Microglia",0.322446288290078
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3256.91001935372,-595.281124497992,"Homeostatic Microglia","Homeostatic Microglia",0.325691001935372
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3290.18664020353,-585.441767068273,"Homeostatic Microglia","Homeostatic Microglia",0.329018664020353
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3323.55533888007,-575.602409638554,"Homeostatic Microglia","Homeostatic Microglia",0.332355533888007
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3356.58060167291,-565.763052208835,"Homeostatic Microglia","Homeostatic Microglia",0.335658060167291
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3390.27853828986,-555.923694779116,"Homeostatic Microglia","Homeostatic Microglia",0.339027853828986
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3426.10102677513,-546.084337349398,"Homeostatic Microglia","Homeostatic Microglia",0.342610102677513
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3465.50002891488,-536.244979919679,"Homeostatic Microglia","Homeostatic Microglia",0.346550002891488
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3509.92750649529,-526.40562248996,"Homeostatic Microglia","Homeostatic Microglia",0.350992750649529
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3560.61726972557,-516.566265060241,"Homeostatic Microglia","Homeostatic Microglia",0.356061726972557
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3617.45685079594,-506.726907630522,"Homeostatic Microglia","Homeostatic Microglia",0.361745685079594
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3679.82072170634,-496.887550200803,"Homeostatic Microglia","Homeostatic Microglia",0.367982072170634
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3747.08234449571,-487.048192771084,"Homeostatic Microglia","Homeostatic Microglia",0.374708234449571
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3818.61518120299,-477.208835341365,"Homeostatic Microglia","Homeostatic Microglia",0.381861518120299
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3893.91993585108,-467.369477911647,"Homeostatic Microglia","Homeostatic Microglia",0.389391993585108
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3973.5153387711,-457.530120481928,"Homeostatic Microglia","Homeostatic Microglia",0.39735153387711
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4058.40865419507,-447.690763052209,"Homeostatic Microglia","Homeostatic Microglia",0.405840865419507
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4149.61023279404,-437.85140562249,"Homeostatic Microglia","Homeostatic Microglia",0.414961023279404
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4248.13042523902,-428.012048192771,"Homeostatic Microglia","Homeostatic Microglia",0.424813042523902
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4354.96108881779,-418.172690763052,"Homeostatic Microglia","Homeostatic Microglia",0.435496108881779
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4470.89901618363,-408.333333333333,"Homeostatic Microglia","Homeostatic Microglia",0.447089901618363
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4596.6240076026,-398.493975903614,"Homeostatic Microglia","Homeostatic Microglia",0.459662400760259
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4732.81427533011,-388.654618473896,"Homeostatic Microglia","Homeostatic Microglia",0.473281427533011
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",4880.14803162163,-378.815261044177,"Homeostatic Microglia","Homeostatic Microglia",0.488014803162163
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",5039.32468403911,-368.975903614458,"Homeostatic Microglia","Homeostatic Microglia",0.503932468403911
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",5211.34590013074,-359.136546184739,"Homeostatic Microglia","Homeostatic Microglia",0.521134590013074
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",5397.43864256288,-349.29718875502,"Homeostatic Microglia","Homeostatic Microglia",0.539743864256288
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",5598.83525839478,-339.457831325301,"Homeostatic Microglia","Homeostatic Microglia",0.559883525839478
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",5816.76809468565,-329.618473895582,"Homeostatic Microglia","Homeostatic Microglia",0.581676809468565
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",6052.41930348936,-319.779116465863,"Homeostatic Microglia","Homeostatic Microglia",0.605241930348936
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",6305.96699110203,-309.939759036145,"Homeostatic Microglia","Homeostatic Microglia",0.630596699110203
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",6576.662301209,-300.100401606426,"Homeostatic Microglia","Homeostatic Microglia",0.6576662301209
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",6863.72162996316,-290.261044176707,"Homeostatic Microglia","Homeostatic Microglia",0.686372162996316
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",7166.3613735174,-280.421686746988,"Homeostatic Microglia","Homeostatic Microglia",0.71663613735174
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",7483.82344545279,-270.582329317269,"Homeostatic Microglia","Homeostatic Microglia",0.748382344545279
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",7816.10540641464,-260.74297188755,"Homeostatic Microglia","Homeostatic Microglia",0.781610540641464
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",8164.06812474934,-250.903614457831,"Homeostatic Microglia","Homeostatic Microglia",0.816406812474935
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",8528.61963818154,-241.064257028112,"Homeostatic Microglia","Homeostatic Microglia",0.852861963818154
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",8910.66798443584,-231.224899598394,"Homeostatic Microglia","Homeostatic Microglia",0.891066798443584
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",9311.13146934227,-221.385542168675,"Homeostatic Microglia","Homeostatic Microglia",0.931113146934227
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",9731.41686440775,-211.546184738956,"Homeostatic Microglia","Homeostatic Microglia",0.973141686440775
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",10173.6225874803,-201.706827309237,"Homeostatic Microglia","Homeostatic Microglia",1.01736225874803
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",10639.8995079045,-191.867469879518,"Homeostatic Microglia","Homeostatic Microglia",1.06398995079045
