gene,logFC,padj,scores
Cox16,0.25204465,1.0,1.9361537
Pou2f1,0.31554115,1.0,1.9341475
Irf2bp2,0.35249254,1.0,1.9305549
March6,0.35719663,1.0,1.9291085
4932438A13Rik,0.25838313,1.0,1.9274055
Gm6277,0.5464647,1.0,1.9269389
Abcc5,0.2973277,1.0,1.9235563
Zup1,0.24623963,1.0,1.9190072
Trpm7,0.24827236,1.0,1.9163477
Ikzf2,0.46414512,1.0,1.9146447
Actg1,0.49390006,1.0,1.907133
Rassf2,0.27814224,1.0,1.9025372
Cnot3,0.5967141,1.0,1.8949088
Tap1,1.0516175,1.0,1.8930892
Mdn1,0.55433494,1.0,1.8838277
Gtdc1,0.24620995,1.0,1.8827779
Aig1,0.447557,1.0,1.8667746
Spsb1,0.5534633,1.0,1.8628321
Dnajc7,0.2858467,1.0,1.854807
Hipk1,0.33997405,1.0,1.8519377
Rab8b,0.26858068,1.0,1.8461988
P3h2,0.20679776,1.0,1.8431427
Gm12185,0.34955248,1.0,1.8351411
Tep1,0.5451658,1.0,1.8327149
Fam114a2,0.3797233,1.0,1.8317118
Setd3,0.31528616,1.0,1.8293322
Cables1,0.25819832,1.0,1.8282825
Adrb1,0.5387773,1.0,1.8235468
Ylpm1,0.27866864,1.0,1.8232201
Thumpd3,0.58536124,1.0,1.8213539
Znfx1,0.48334858,1.0,1.8208406
mt-Atp6,0.053510766,1.0,1.8186477
Klf13,0.39745373,1.0,1.817178
Tmem164,0.25695482,1.0,1.8025044
Trip12,0.23840496,1.0,1.7985152
Rufy3,0.42723,1.0,1.7970922
Cep83,0.5421768,1.0,1.7945493
Atrn,0.4403383,1.0,1.7914467
B3galt5,0.6556577,1.0,1.7887173
Maml3,0.12817444,1.0,1.7886472
Hnrnpk,0.34125963,1.0,1.7874808
Usp7,0.3272892,1.0,1.7872008
Fut8,0.32183444,1.0,1.7865243
Tpcn1,0.54260945,1.0,1.7858945
Zfp710,0.18279746,1.0,1.7856145
Map4k5,0.35112134,1.0,1.7845881
Jade2,0.4035998,1.0,1.783585
mt-Cytb,0.09581199,1.0,1.783445
Capzb,0.26746488,1.0,1.7827218
Psme4,0.23036428,1.0,1.7826518
Rbpj,0.39502677,1.0,1.7825118
Usp25,0.2605694,1.0,1.780039
Trim12a,0.34650296,1.0,1.7765397
Macf1,0.10626872,1.0,1.7757932
Tpst2,0.27268004,1.0,1.77479
Fcgr1,0.316969,1.0,1.7724805
Col27a1,0.23949768,1.0,1.7685146
Ubash3b,0.15539543,1.0,1.766975
Azin1,0.44818863,1.0,1.7618661
Gng2,0.2560744,1.0,1.7616794
Bach1,0.34774712,1.0,1.7574337
U2surp,0.28789803,1.0,1.7573403
Adam15,0.4333979,1.0,1.7570137
Exoc6b,0.22180067,1.0,1.7544942
Rasa3,0.31731287,1.0,1.7533045
Aim2,0.23222174,1.0,1.7465159
Abl2,0.3064765,1.0,1.7446963
Rgmb,0.39413685,1.0,1.7408704
Psme1,1.0781765,1.0,1.7386075
Prkcb,0.22159424,1.0,1.734525
Osbpl11,0.24282882,1.0,1.7216942
Myh9,0.26240566,1.0,1.7189882
Apc,0.24033615,1.0,1.7167953
Cntrl,0.34482932,1.0,1.7112664
mt-Nd3,0.19353415,1.0,1.6995555
Nova1,0.528601,1.0,1.699019
Prkce,0.23300198,1.0,1.6974792
Srrm2,0.21334332,1.0,1.6940266
Hdac4,0.6459341,1.0,1.6936767
Immt,0.404008,1.0,1.6912972
Zeb1,0.18994738,1.0,1.6797962
Ago2,0.4662814,1.0,1.6778365
Kdm7a,0.23780298,1.0,1.675317
Bbx,0.33783975,1.0,1.6709313
Fubp1,0.25523916,1.0,1.6701149
Plxnb2,0.2831804,1.0,1.668925
Psmb9,1.0061748,1.0,1.6683885
Tax1bp1,0.3087192,1.0,1.6661723
Aatf,0.41109952,1.0,1.6636995
Zc3h7a,0.24949521,1.0,1.6618332
