gene,scores,logFC,pvals,padj
Parp8,6.288765,0.594668,3.2000197185035094e-10,3.1473855143904186e-08
Nod1,6.2848597,1.9602069,3.28150004467487e-10,3.209984744788206e-08
Fam49b,6.279778,0.47188306,3.3905728196436794e-10,3.2987524422036e-08
Rrbp1,6.27654,0.4899346,3.461908340615118e-10,3.3500477539102966e-08
Tut7,6.2749057,0.6041304,3.4984605623704513e-10,3.3673150621446925e-08
Htt,6.269217,0.7992539,3.6286861092197646e-10,3.455699538616219e-08
Atf6,6.2586484,0.7044763,3.8832847311565865e-10,3.678696940846705e-08
Man1a2,6.2534614,0.5467635,4.014535275308547e-10,3.783121487972698e-08
Dnajc13,6.223158,0.58478826,4.872471794057761e-10,4.5676885323565433e-08
Btg1,6.2203245,0.5684976,4.961278903369552e-10,4.62684243428749e-08
Lgals9,6.1871724,0.84621596,6.125296945298305e-10,5.653806139406369e-08
Mid1,6.158053,1.254846,7.364478397448511e-10,6.728591201810952e-08
Dpy19l4,6.1495757,0.6073516,7.769056219467387e-10,7.062386004757249e-08
Hsp90b1,6.1418853,0.52058023,8.154772927875609e-10,7.375766730092115e-08
Actr2,6.1285887,0.6027502,8.866210004349705e-10,7.979145693414518e-08
Akap9,6.108381,0.6275937,1.0064687684793358e-09,9.01265241983063e-08
Aim2,6.1025944,0.5686838,1.0436034216534893e-09,9.298919795218393e-08
Slfn2,6.1015,1.7651029,1.050774981068238e-09,9.316698957757249e-08
H2-Ab1,6.1007056,1.2540836,1.0560118153705642e-09,9.317233659242541e-08
Lars2,6.0972652,0.5517686,1.0789834848309494e-09,9.473474996815735e-08
Gna13,6.0954814,0.64798003,1.0910858038611994e-09,9.533229797911519e-08
Gsap,6.09399,0.6102255,1.1013064798908449e-09,9.576046053891458e-08
Setd3,6.0834665,0.7269241,1.176116208765793e-09,1.0177363289218994e-07
Ikzf2,6.0787816,0.93159,1.210990698612775e-09,1.0429005542742268e-07
Taok3,6.048133,0.63775665,1.4653385751999901e-09,1.2559347150011726e-07
Peli1,6.039813,0.54588383,1.5429269506082572e-09,1.3161678760188634e-07
Ap3b1,6.0291023,0.56572545,1.6487284566023663e-09,1.3997860136974523e-07
Cdk14,6.023818,0.59522766,1.7034979417766831e-09,1.4394957490158929e-07
Ankrd17,6.0190434,0.5243721,1.7545065432132402e-09,1.4756711809016405e-07
Tor3a,5.9929147,1.6517134,2.0611301302332904e-09,1.7255014518171624e-07
Ank2,5.980967,0.5388585,2.2181676075727745e-09,1.8483703133658502e-07
Xaf1,5.9653916,1.8503406,2.4404795981394633e-09,2.0242484924844334e-07
Tap2,5.942651,1.2373829,2.8044968326698327e-09,2.3155109399644183e-07
Dtx3l,5.933956,1.3099664,2.957210649444134e-09,2.4304490629837884e-07
Trim14,5.919947,0.9515653,3.2204506197456464e-09,2.6347677593091767e-07
Cux1,5.917751,0.5526951,3.263735265115212e-09,2.6580982369596697e-07
Scfd1,5.901741,0.8135907,3.596857557953977e-09,2.916208972324938e-07
Naa25,5.8746676,1.6392823,4.236926701114084e-09,3.389353053037884e-07
Clint1,5.865021,0.5835875,4.490757681415832e-09,3.5765109516727236e-07
March5,5.861978,1.2339668,4.573858854157105e-09,3.6266469390296796e-07
Usp18,5.835744,2.8351684,5.355103727854002e-09,4.227478596387903e-07
Gm26740,5.807906,0.81094503,6.3258918551940765e-09,4.972040502254943e-07
Rap1b,5.801048,0.525377,6.5901738360639065e-09,5.157240820665838e-07
Atm,5.798417,0.95703316,6.694378059604012e-09,5.216108688087126e-07
Lpcat2,5.776523,0.40898427,7.6260035708694e-09,5.891005934423962e-07
Mbd2,5.76959,1.0776104,7.946468763846246e-09,6.112328687199512e-07
Il10ra,5.7569075,0.5238612,8.56687217309582e-09,6.561494989087306e-07
Ecpas,5.7450724,0.55808425,9.188161236881468e-09,7.003664036459276e-07
Fcgr2b,5.7444506,0.7470331,9.22200331485554e-09,7.003664036459276e-07
Pnpt1,5.73341,1.4139608,9.843148874093374e-09,7.443984730454059e-07
Rufy3,5.7300444,0.832107,1.0040443202137802e-08,7.561419966329635e-07
Tpd52,5.721552,0.6884465,1.0555534136044821e-08,7.916210788111282e-07
Snx2,5.6962852,0.5833549,1.2244607361850032e-08,9.144841821823184e-07
Nfkb1,5.6917806,0.52986985,1.2572151562320954e-08,9.350667602074994e-07
