"","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"Ccl2",2,0.406706497009738,0.406706497009738,1.87539217595921,-0.704311329625241,0.406706497009738,-0.704311329625241,-0.704311329625241,-0.704311329625241,-0.054407563411059,-1.16542539004604,0.908548771740811,1.7065140294381,1.05661026322392,1.95359597405141,-0.704311329625241,1.05661026322392,1.87539217595921,-0.054407563411059,-1.16542539004604,-1.16542539004604,-1.16542539004604,0.303260288903437,-1.16542539004604,-0.704311329625241,-1.16542539004604,-1.16542539004604,1.05661026322392,0.406706497009738,0.595496202803122,-0.704311329625241,-1.16542539004604,-0.054407563411059,0.595496202803122,-0.704311329625241,-1.16542539004604,-0.054407563411059,0.237828350488626,-0.054407563411059,-0.054407563411059,-0.704311329625241,-0.054407563411059,-0.054407563411059
"Ccl5",2,1.89859329268969,0.692086746130045,1.89859329268969,0.0245330012429701,-0.643020743644105,-0.643020743644105,0.0245330012429701,-0.643020743644105,-0.920080580556263,-0.920080580556263,0.356640762002758,2,1.96503870431846,0.415026909217886,0.0245330012429701,1.66633578855798,1.35964049101712,-0.920080580556263,-0.920080580556263,-0.920080580556263,-0.920080580556263,-0.381127778883697,-0.920080580556263,-0.643020743644105,0.137967072305727,0.415026909217886,-0.920080580556263,-0.643020743644105,-0.252526835669188,0.0245330012429701,-0.252526835669188,-0.252526835669188,0.137967072305727,0.906991051456465,0.137967072305727,-0.920080580556263,-1.13498488588268,-0.920080580556263,-0.920080580556263,-0.643020743644105,-0.252526835669188,-0.252526835669188
"Cd63",0.958365046981649,1.20879287735791,0.651866153484238,1.42052659101742,1.42052659101742,0.256720354440492,0.958365046981649,-1.25227889235061,0.651866153484238,-1.64742469139435,-0.138425444603255,-0.00996269887448541,1.02538079197367,1.02538079197367,1.20879287735791,1.20879287735791,0.651866153484238,1.76571960123159,-0.695352168476931,0.256720354440492,-1.64742469139435,-1.64742469139435,0.256720354440492,-0.695352168476931,0.256720354440492,-1.64742469139435,-1.64742469139435,-1.64742469139435,-0.300206369433184,0.256720354440492,-0.300206369433184,0.563219247937902,0.256720354440492,0.563219247937902,1.20879287735791,-0.695352168476931,-0.138425444603255,-0.444924338100665,-0.138425444603255,-0.695352168476931,-1.25227889235061,-0.695352168476931,-0.695352168476931
"Cdc42ep1",-0.882225903565478,-0.882225903565478,-0.882225903565478,-0.882225903565478,0.834603630475515,-0.0238111365449816,0.478329312227297,0.834603630475515,-0.882225903565478,-0.380085454793199,0.122054993979079,0.363931354184506,0.122054993979079,0.478329312227297,-0.380085454793199,-0.882225903565478,-0.882225903565478,-0.882225903565478,-1.2385002218137,0.478329312227297,2,0.122054993979079,0.553408706722158,-0.380085454793199,1.1109514610456,-0.380085454793199,-0.380085454793199,-0.380085454793199,-0.0238111365449816,0.122054993979079,0.478329312227297,-1.2385002218137,-0.380085454793199,-1.2385002218137,1.33674407924779,-0.380085454793199,0.754677142797384,-0.656433285363287,0.122054993979079,-0.380085454793199,0.478329312227297,0.478329312227297,0.980469760999575
"Cdc42ep4",-0.053304658438999,-0.837103806588717,-0.837103806588717,-0.837103806588717,-0.837103806588717,0.405188451325772,-0.837103806588717,-0.053304658438999,0.730494489710719,-1.16240984497366,0.0798824129408251,1.23780596371436,-1.16240984497366,-0.378610696823946,-0.378610696823946,-0.837103806588717,-0.053304658438999,-0.053304658438999,0.405188451325772,-0.378610696823946,0.0798824129408251,-1.16240984497366,0.332209379479001,0.0798824129408251,-0.837103806588717,0.405188451325772,0.657515417863948,-1.16240984497366,-0.837103806588717,0.0798824129408251,2,-1.16240984497366,0.0798824129408251,0.0798824129408251,0.730494489710719,0.0798824129408251,0.0798824129408251,0.405188451325772,-0.378610696823946,0.657515417863948,0.405188451325772,1.18898759947549,1.44131456601367
"Cdc42se1",2,1.6884189894215,-0.916254934830481,1.6884189894215,1.32728906637024,1.32728906637024,0.205517065769879,0.205517065769879,0.205517065769879,-0.26006038012032,0.396134174589841,0.99855717506652,1.2228415435313,0.86171162048004,-0.26006038012032,0.205517065769879,0.861711620480039,-0.916254934830481,-0.26006038012032,-0.26006038012032,-0.26006038012032,-1.38183238072068,0.645607765990786,-0.26006038012032,0.205517065769879,-1.38183238072068,-1.38183238072068,0.86171162048004,-0.916254934830481,-0.26006038012032,-0.916254934830481,-1.38183238072068,-1.38183238072068,0.396134174589841,1.32728906637024,-1.38183238072068,-1.38183238072068,0.0350042515385817,-0.26006038012032,-1.38183238072068,0.205517065769879,-0.26006038012032,-0.26006038012032
"Chmp4b",1.18467553929585,1.18467553929585,1.18467553929585,0.425512886800861,0.774430545376756,1.059517030421,-0.0243202118612393,-0.309406696905487,0.216716976784527,0.734842440633754,-0.759239795567587,-1.35687842539902,1.48472526402481,0.958601590334798,0.958601590334798,0.774430545376756,0.774430545376756,1.77806320153969,-0.0243202118612393,0.85072112040467,-1.10815745414348,0.159850833096803,-0.410322136991692,0.324597446714656,-1.10815745414348,-1.55799055280558,-1.55799055280558,-0.47415331052334,-0.658324355481382,0.734842440633754,-1.10815745414348,-0.759239795567587,0.324597446714656,-0.233116121877573,-0.658324355481382,-2,-0.47415331052334,-0.189066825479093,-0.233116121877573,-0.759239795567587,-0.0243202118612393,0.85072112040467,0.324597446714656
"Clic4",1.41805982897838,1.50084663291977,-0.646447051005838,1.32955920602533,0.242687666184607,0.242687666184607,0.00881464414222007,0.762798133830327,-1.16655751865156,0.0714002392901638,-2,-0.646447051005838,2,1.13182238337505,1.48064542412633,1.13182238337505,0.762798133830327,1.02020851803475,-0.646447051005837,-0.360209605402504,-0.126336583360117,-0.126336583360117,-0.29762401025456,-0.126336583360117,-1.16655751865156,-0.126336583360117,-0.360209605402504,-0.646447051005837,0.00881464414222007,-0.360209605402504,-0.646447051005838,0.393773884285604,0.762798133830327,-1.53558176819628,0.897949361332665,-0.360209605402504,-0.360209605402504,-0.21483720631317,-1.01547130055056,-1.01547130055056,-1.16655751865156,-1.53558176819628,1.84966967367105
"Cmpk2",0.998571562482874,1.25029404702649,1.25029404702649,1.25029404702649,0.690488140344387,0.998571562482874,-0.266506378093901,-1.22350089653219,1.25029404702649,-1.62068950828838,-1.62068950828838,-0.246350527484313,1.4129113419524,1.4129113419524,0.853105435270298,1.25029404702649,1.64748265878267,0.998571562482874,-0.663694989850089,0.293299528588199,0.601382950726685,-0.663694989850089,0.00662198090739557,-0.663694989850089,-0.266506378093901,0.601382950726685,-0.10388908316799,0.293299528588199,-1.22350089653219,-0.663694989850089,-1.22350089653219,-0.663694989850089,0.293299528588199,-0.663694989850089,0.293299528588199,-1.62068950828838,0.601382950726685,-1.92877293042686,0.293299528588199,-0.663694989850089,-1.22350089653219,-0.663694989850089,-0.663694989850089
"Cnn3",1.48682519186464,1.48682519186464,1.75233264311982,0.742930658563662,1.48682519186464,2,0.152468349444795,-0.856933635111362,-0.856933635111362,-1.27587331054865,-1.27587331054865,0.173727985956545,0.323990983126373,1.33339296768253,0.323990983126373,0.742930658563662,1.48682519186464,-0.856933635111362,-0.266471325992494,1.33339296768253,-1.27587331054865,-0.266471325992494,0.197279861627841,0.323990983126373,-0.856933635111362,-1.27587331054865,-1.27587331054865,-0.266471325992494,-0.856933635111362,-0.266471325992494,0.152468349444795,0.742930658563663,-1.27587331054865,-1.27587331054865,-0.856933635111362,0.742930658563663,-1.27587331054865,-0.591426183856181,-0.266471325992494,0.323990983126373,0.152468349444795,-0.266471325992494,-0.266471325992494
