"ROI","CellState","Score","antigen"
"DSP-1001660019915-A-C09.dcc","IFN-Responsive Microglia",-0.227224362444327,"negative"
"DSP-1001660019915-A-C10.dcc","IFN-Responsive Microglia",-0.514986851263447,"negative"
"DSP-1001660019915-A-C11.dcc","IFN-Responsive Microglia",-0.388404354237045,"negative"
"DSP-1001660019915-A-C12.dcc","IFN-Responsive Microglia",-0.432021759163326,"negative"
"DSP-1001660019915-A-D02.dcc","IFN-Responsive Microglia",-0.166664057172777,"negative"
"DSP-1001660019915-A-D03.dcc","IFN-Responsive Microglia",-0.465252121456124,"negative"
"DSP-1001660019915-A-D04.dcc","IFN-Responsive Microglia",-0.121020872498985,"negative"
"DSP-1001660019915-A-D05.dcc","IFN-Responsive Microglia",-0.555224731576979,"negative"
"DSP-1001660019915-A-D06.dcc","IFN-Responsive Microglia",-0.0465572274622075,"negative"
"DSP-1001660019915-A-D07.dcc","IFN-Responsive Microglia",-0.055144069128526,"negative"
"DSP-1001660019915-A-D08.dcc","IFN-Responsive Microglia",-0.336741471911006,"negative"
"DSP-1001660019915-A-D11.dcc","IFN-Responsive Microglia",-0.135690067267135,"negative"
"DSP-1001660019915-A-D12.dcc","IFN-Responsive Microglia",0.103963534574514,"negative"
"DSP-1001660019915-A-A02.dcc","Primed Microglia",0.326197064648863,"positive"
"DSP-1001660019915-A-A03.dcc","Primed Microglia",-0.123830211507956,"positive"
"DSP-1001660019915-A-A04.dcc","Primed Microglia",0.152723957837757,"positive"
"DSP-1001660019915-A-A05.dcc","Primed Microglia",0.562128647580963,"positive"
"DSP-1001660019915-A-A06.dcc","Primed Microglia",0.185225934022804,"negative"
"DSP-1001660019915-A-A07.dcc","Primed Microglia",0.383498883904749,"negative"
"DSP-1001660019915-A-A08.dcc","Primed Microglia",0.0133009300004126,"negative"
"DSP-1001660019915-A-A09.dcc","Primed Microglia",0.0186275466038808,"negative"
"DSP-1001660019915-A-A10.dcc","Primed Microglia",0.16347085248497,"negative"
"DSP-1001660019915-A-A11.dcc","Primed Microglia",-0.0327740987466247,"negative"
"DSP-1001660019915-A-A12.dcc","Primed Microglia",0.101173210533577,"negative"
"DSP-1001660019915-A-B01.dcc","Primed Microglia",-0.478875080247282,"negative"
"DSP-1001660019915-A-B02.dcc","Primed Microglia",0.830475616939895,"positive"
"DSP-1001660019915-A-B03.dcc","Primed Microglia",0.155795675418802,"positive"
"DSP-1001660019915-A-B04.dcc","Primed Microglia",0.25929260963927,"negative"
"DSP-1001660019915-A-B05.dcc","Primed Microglia",0.416829117206534,"negative"
"DSP-1001660019915-A-B06.dcc","Primed Microglia",0.974546828476281,"positive"
"DSP-1001660019915-A-B07.dcc","Primed Microglia",0.712665766646609,"positive"
"DSP-1001660019915-A-B08.dcc","Primed Microglia",-0.0875532532545955,"negative"
"DSP-1001660019915-A-B09.dcc","Primed Microglia",-0.104394826802802,"negative"
"DSP-1001660019915-A-B10.dcc","Primed Microglia",0.0244111332286872,"negative"
"DSP-1001660019915-A-B11.dcc","Primed Microglia",0.350533815179313,"negative"
"DSP-1001660019915-A-B12.dcc","Primed Microglia",-0.466937875945365,"negative"
"DSP-1001660019915-A-C01.dcc","Primed Microglia",0.49944573352405,"negative"
"DSP-1001660019915-A-C02.dcc","Primed Microglia",0.135045027055207,"negative"
"DSP-1001660019915-A-C03.dcc","Primed Microglia",-0.299226245081595,"negative"
"DSP-1001660019915-A-C04.dcc","Primed Microglia",-0.720250832844474,"negative"
"DSP-1001660019915-A-C05.dcc","Primed Microglia",-0.21954530428776,"negative"
"DSP-1001660019915-A-C07.dcc","Primed Microglia",-0.250755103058656,"negative"
"DSP-1001660019915-A-C08.dcc","Primed Microglia",0.0313709749903537,"negative"
"DSP-1001660019915-A-C09.dcc","Primed Microglia",0.0487214645884172,"negative"
"DSP-1001660019915-A-C10.dcc","Primed Microglia",-0.0490375462179168,"negative"
"DSP-1001660019915-A-C11.dcc","Primed Microglia",0.419295265746916,"negative"
"DSP-1001660019915-A-C12.dcc","Primed Microglia",0.218079959153772,"negative"
"DSP-1001660019915-A-D02.dcc","Primed Microglia",-0.67173411694538,"negative"
"DSP-1001660019915-A-D03.dcc","Primed Microglia",-0.662442126409721,"negative"
"DSP-1001660019915-A-D04.dcc","Primed Microglia",-0.817732508109043,"negative"
"DSP-1001660019915-A-D05.dcc","Primed Microglia",-0.149355261183415,"negative"
"DSP-1001660019915-A-D06.dcc","Primed Microglia",-0.601364751823256,"negative"
"DSP-1001660019915-A-D07.dcc","Primed Microglia",-0.299238827903878,"negative"
"DSP-1001660019915-A-D08.dcc","Primed Microglia",-0.469296648377011,"negative"
"DSP-1001660019915-A-D11.dcc","Primed Microglia",-0.118078067516466,"negative"
