"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.95402825006841e-07,0.543013792029953,0.093,0.18,0.00531695544729813,"Primed Microglia","Rab7"
3.84860319822029e-10,0.54213734760858,0.101,0.216,6.9271008964767e-06,"Primed Microglia","Rpl3"
8.77024772162135e-08,0.541215114868096,0.043,0.11,0.00157855688741463,"Primed Microglia","Tbca"
1.11157489474144e-07,0.540777564297893,0.096,0.187,0.00200072365304512,"Primed Microglia","Pfn1"
1.64530440250896e-08,0.539695666717252,0.106,0.211,0.000296138339407588,"Primed Microglia","Arl6ip1"
1.8934012593894e-06,0.523835331174016,0.239,0.397,0.0340793292677498,"Primed Microglia","Cyba"
5.80234681998518e-227,3.79425247758416,0.439,0.048,1.04436440412913e-222,"IEG-High Microglia","Egr1"
9.51975886533257e-169,2.91303615053759,0.539,0.105,1.71346139817121e-164,"IEG-High Microglia","Atf3"
7.98795982405472e-54,2.79287530508286,0.165,0.028,1.43775288873161e-49,"IEG-High Microglia","Ier3"
2.06159167862826e-36,2.78842047531058,0.188,0.05,3.71065886236301e-32,"IEG-High Microglia","Adamts1"
6.21276723795371e-53,2.60392175212249,0.34,0.11,1.11823597515929e-48,"IEG-High Microglia","Hsph1"
9.51140778315457e-104,2.59515002721123,0.444,0.108,1.71195828688999e-99,"IEG-High Microglia","Cd83"
1.66624695031418e-59,2.37649542741361,0.223,0.045,2.99907788587049e-55,"IEG-High Microglia","Ppp1r15a"
1.38471960873824e-55,2.24619108724086,0.437,0.165,2.49235682376796e-51,"IEG-High Microglia","Dnaja1"
2.73526751259956e-144,2.18760915216567,0.781,0.279,4.92320799592795e-140,"IEG-High Microglia","Junb"
5.96187768488923e-42,2.14646784115506,0.21,0.054,1.07307836450321e-37,"IEG-High Microglia","Nabp1"
4.63029831946641e-29,2.0746880456636,0.16,0.044,8.33407394520758e-25,"IEG-High Microglia","Plekho2"
1.9508846044204e-75,2.04601506093827,0.444,0.134,3.51139719949627e-71,"IEG-High Microglia","Ifrd1"
4.67961601602235e-48,1.9689086499957,0.338,0.111,8.42284086723863e-44,"IEG-High Microglia","Sqstm1"
